title,authors,tags,series,series_index,comments,languages,library_name,#language_code,#world,#subjects,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"More Aurora Teagarden Mysteries","Charlaine Harris","Ambientacion · Small town, Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","","1.0","Charlaine Harris More Aurora Teagarden Mysteries In this acclaimed series starring part-time librarian and amateur sleuth Aurora Teagarden, #1 New York Times bestselling author Charlaine Harris ""mixes elements of a cozy and her darker themes with skill and panache"" (Publishers Weekly). Don't miss these three Southern-set mystery novels from the author of the Sookie Stackhouse series. 
Dead Over Heels A Fool and His Honey Poppy Done to Death
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Ómnibus de tres novelas de misterio cozy.","Aurora Teagarden","1.0"
"Small Kingdoms & Other Stories","Charlaine Harris","Formato · Antologia/Relatos, Genero · Misterio/Thriller, Tono · Identidad secreta, Tono · Morally grey/Antiheroe, Tono · Oscuro","","1.0","Principal Anne DeWitt knew her past could catch up with her, but she didn’t expect it would make her late for school. Killing a man does take time though; so does disposing the body . . . if you do it right. 
After three relatively quiet years at Travis High School, it seems Anne is in danger of being exposed—even the baseball coach knows more about her former life than she ever imagined. Now, she must find out who else holds her secrets and who wants her to pay for them. . .without letting it make her tardy again. Anne still has a school to run, parents to manage, and a few students who might benefit from her unique—and deadly—experience. 
Collected together for the first time in Small Kingdoms and Other Stories , “Small Kingdoms,” “Sarah Smiles,” “Small Chances,” and “Small Signs” are sure to delight fans of Charlaine Harris. 
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","90","Colección de relatos de crimen y suspense.","",""
"Sweet and Deadly","Charlaine Harris","Ambientacion · Small town, Genero · Misterio/Thriller, Subgenero · Policiaco/Detective, Themes.Family Secrets","","1.0","Catherine Linton came home to Lowfield, Mississippi convinced that the untimely deaths of her parents in a car accident was no accident -- but nobody believed her. So she stayed, taking a job at the local paper, to try to both convince the sheriff that she was right-and maybe convince herself she was wrong. After all, her father had been the town doctor, loved (she always thought) by all. To think he was killed was to think that one of her friends or neighbors has harbored some deep resentment toward him. Then she finds the dead body of the women who had been her father's nurse for many years. Obviously murdered. Now Catherine knows that she was not wrong about her parent's death. Someone in Lowfield has a terrible secret, a secret worth killing for. Not once, not twice, but -- when another body is found -- three times. And the killer won't hesitate to add more victims to the list, as Catherine gets closer and closer to the truth. 
In *A Secret Rage* , former New York City model Nickie Callahan moves back to the South—before quickly learning that Knolls, Tennessee isn’t the quiet town she remembers from her youth. Someone is attacking women, and when the violence affects Nickie personally, she resolves to catch the assailant at any cost. 
In *Sweet and Deadly* , newspaper reporter Catherine Linton returns to the sleepy Southern town where she grew up after learning of her parents’ deaths in a car accident. She soon stumbles on the startling revelation that it wasn’t an accident at all—and that there are plenty of secrets hidden in places she least expects. 
Blending small-town Southern intrigue and harrowing suspense, these two crime novels will be sure to please fans of Charlaine Harris, #1 New York Times bestselling author of the Aurora Teagarden mysteries, which have been adapted by Hallmark Movies & Mysteries, and the Midnight, Texas series, recently adapted for television by NBC.
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","90","Misterio sobre muertes sospechosas de los padres.","",""
"The Aurora Teagarden Mysteries: Omnibus 1","Charlaine Harris","Ambientacion · Small town, Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","","1.0","THE AURORA TEAGARDEN MYSTERIES: An omnibus edition of Roe Teagarden's adventures!Aurora Teagarden loves reading about famous murderers - until she finds herself investigating a real-life killing spree!The first four novels in the Aurora Teagarden mysteries series. Lawrenceton, Georgia, may be a growing suburb of Atlanta, but it's still a small town at heart. Librarian Aurora Teagarden - Roe - grew up there, and she reckons she knows everything about her fellow townsfolk, including which ones share her interest in the darker side of human nature. 
This is omnibus edition contains four novels: Real Murders (book 1); A Bone to Pick (book 2); Three Bedrooms, One Corpse (book 3 ); The Julius House (book 4)
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Ómnibus de las primeras cuatro novelas de la serie.","Aurora Teagarden","1.0"
"The Lily Bard Mysteries Omnibus","Charlaine Harris","Genero · Misterio/Thriller, Subgenero · Policiaco/Detective, Tono · Oscuro","","1.0","Lily Bard is starting over again. She’s disguised herself as much as she can, cutting her hair short and wearing baggy clothes, and she's moved to Shakespeare, Arkansas, where, working as a cleaning lady, she can sweep away the secrets of her dark, violent past. Before long, everyone is going to know Lily Bard’s name.
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Misterio con protagonista que oculta su pasado, sin romance central.","Lily Bard","1.0"
"Unos asesinatos muy reales","Charlaine Harris","Ambientacion · Small town, Subgenero · Cozy mystery, Subgenero · Policiaco/Detective","Aurora Teagarden","1.0","El “Asesinato del Mes” de repente adquirió una dimensión muy violenta y… real 
Cada mes, Real Murders, una asociación de aficionados al crimen de Lawrenceton, Georgia, se reúne para discutir sobre un asesinato famoso. Sus miembros son de lo más excéntrico: Gifford Doakes, el especialista en masacres; Jane Engle, amante de las historias de terror victorianas; Perry Allison, fan de Ted Bundy… 
Durante la noche de la última reunión, la bibliotecaria local, Aurora «Roe» Teagarden, descubrió el cuerpo mutilado de Mamie Wright en la cocina de la sede del club. Está segura de que el asesino pertenece a la asociación, ya que el crimen guarda un parecido escalofriante con el Asesinato del Mes. 
Y como quiera que después tuvieron lugar otros asesinatos de imitación, el único móvil parece un aterrador y extraño sentido de la diversión …
","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Club de aficionados al crimen con asesinatos imitación.","Aurora Teagarden","1.0"
"La paciencia de los huesos","Charlaine Harris","Ambientacion · Small town, Subgenero · Cozy mystery, Subgenero · Policiaco/Detective","Aurora Teagarden","2.0","Ir a dos bodas —una de ellas la de un antiguo amor— y al funeral de uno de los miembros del club, ya disuelto, de aficionados al estudio de crímenes mantiene muy ocupada a Aurora «Roe» Teagarden durante unos meses. Por desgracia, su vida personal parece estar en un punto muerto, hasta que su suerte cambia inesperadamente. 
Tras el funeral, Roe descubre que Jane Engle, la fallecida, la ha nombrado beneficiaria de una considerable herencia que incluye dinero, joyas y una casa con un cráneo oculto en la repisa de una ventana. Conociendo a Jane, Roe concluye que la anciana le ha dejado deliberadamente un asesinato por resolver. Por tanto, deberá identificar a la víctima y descubrir cuál de los vecinos de Jane, todos aparentemente normales y corrientes, es un asesino. Y todo ello sin ponerse ella en peligro de muerte…
","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","100","Misterio cozy con herencia y cráneo oculto.","Aurora Teagarden","1.0"
"Tres habitaciones y un cadáver","Charlaine Harris","Ambientacion · Small town, Subgenero · Cozy mystery, Subgenero · Policiaco/Detective","Aurora Teagarden","3.0","Un nuevo caso de la exitosa serie de Aurora Roe Teagarden. 
¿Quién está asesinando a las vendedoras inmobiliarias de Lawrenceton, Georgia? 
Es una pregunta tan sencilla como estremecedora, y la exbibliotecaria Aurora Teagarden es la persona adecuada para responderla. 
Mientras disfruta de una herencia que le permite una vida desahogada, Roe busca algo nuevo con lo que mantenerse ocupada. Cree que la venta de inmuebles puede ser divertida. ¿Y quién mejor para enseñarle los trucos del oficio que su madre, viva imagen de Lauren Bacall y propietaria de una de las inmobiliarias más importantes de la ciudad? 
Roe acepta mostrar una cara vivienda a unos clientes de fuera de la ciudad. La casa tiene su encanto, pero estos no parecen muy entusiasmados con lo que se encuentran en el dormitorio principal: el cadáver de otra vendedora llamada Tonia Lee Greenhouse. Y Tonia solo es la primera víctima. Pronto es evidente que el asesino es alguien familiarizado con la comunidad de vendedores inmobiliarios de Lawrenceton, alguien con acceso a las casas en venta. 
Roe, a fin de cuentas, no está muy segura de que este negocio le guste. No tenía previsto toparse con un asesinato. Pero lo que sí le gusta es su apuesto cliente, Martin Bartell. De hecho, puede que sea amor a primera vista.
","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Misma novela que Three Bedrooms, One Corpse, misterio clásico.","Aurora Teagarden","1.0"
"La casa Julius","Charlaine Harris","Ambientacion · Small town, Subgenero · Cozy mystery, Subgenero · Policiaco/Detective","Aurora Teagarden","4.0","En la nueva entrega de la exitosa serie de Charlaine Harris, el amor a primera vista se convierte en felicidad absoluta de recién casados para la exbibliotecaria Aurora Roe Teagarden, hasta que la violencia interrumpe su luna de miel…  
Roe nunca se ha sentido tan feliz como desde que conoció a su prometido, el adinerado hombre de negocios Martin Bartell. A pesar de la diferencia de edad y de origen, él parece saber exactamente todo lo que ella desea, como la casa Julius…  
Roe, una especie de detective aficionada, está encantada cuando él le ofrece la casa como regalo de boda. Siempre le ha intrigado su historia, tristemente célebre. Hace seis años desapareció la familia que vivía ahí y nunca más se supo de ellos. Mientras Roe se lanza a restaurar la casa Julius, sus recelos acerca del pasado de Martin, bastante turbio, se alejan. Pero cuando Roe sufre el ataque de un maniaco armado con un hacha, se da cuenta de que los secretos que encierran esas cuatro paredes –y su flamante matrimonio– pueden destruirla.
","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","100","Misterio cozy ambientado en un pueblo pequeño.","Aurora Teagarden","1.0"
"Perdiendo la cabeza","Charlaine Harris","Ambientacion · Small town, Subgenero · Cozy mystery, Subgenero · Policiaco/Detective","Aurora Teagarden","5.0","A Aurora Roe Teagarden le caen los problemas del cielo en esta quinta entrega de la serie.  
Roe nunca se llevó bien con el sargento de detectives Jack Burns, pero eso no significa que quisiera verle muerto y mucho menos ver cómo le lanzaban desde una avioneta a su jardín. Afortunadamente, el cuerpo de policía de Lawrenceton, Georgia, sabe que es imposible que Roe pueda estar en dos sitios a la vez, así que su nombre queda tachado de la lista de sospechosos.  
A partir de ese momento, otros acontecimientos extraños empiezan a suceder en torno a Roe. Sucesos peculiares, violentos e incluso potencialmente mortales. Es evidente que detrás de toda esta locura hay un mensaje personal que Roe debe descifrar antes de que sea demasiado tarde.
","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","100","Misterio cozy con cuerpo arrojado desde avioneta.","Aurora Teagarden","1.0"
"De tal muerto tal astilla","Charlaine Harris","Ambientacion · Small town, Subgenero · Cozy mystery, Subgenero · Policiaco/Detective","Aurora Teagarden","6.0","«En ese instante ni lo sospechaba, pero un día tan absolutamente corriente estaba a punto de ir espectacularmente mal». La vida de Roe Teagarden parece haberse serenado. Su matrimonio con Martin va bien, ha recuperado su trabajo en la biblioteca de Lawrenceton y no se ha topado con ningún cadáver en bastante tiempo. Pero una tarde, el hombre que le trae la leña enloquece en su jardín y Roe presiente que se trata del comienzo de una sucesión de episodios desagradables. Muy pronto, sus sospechas se confirman. Regina, la sobrina de Martin, aparece con un bebé que nadie sabía que había tenido. En seguida, la joven desaparece dejando atrás al niño y a su marido, asesinado. Para encontrarla, Roe y Martin vuelven sobre los pasos de Regina conduciendo desde el soleado estado de Georgia hasta el nevado Ohio donde encontrarán un nido de oscuros secretos familiares. Secretos que harán peligrar sus vidas.  <p>""En ese instante ni lo sospechaba, pero un día tan absolutamente corriente estaba a punto de ir espectacularmente mal"". La vida de Roe Teagarden parece haberse serenado. Su matrimonio con Martin va bien, ha recuperado su trabajo en la biblioteca de Lawrenceton y no se ha topado con ningún cadáver en bastante tiempo. Pero una tarde, el hombre que le trae la leña enloquece en su jardín y Roe presiente que se trata del comienzo de una sucesión de episodios desagradables. Muy pronto, sus sospechas se confirman. Regina, la sobrina de Martin, aparece con un bebé que nadie sabía que había tenido. En seguida, la joven desaparece dejando atrás al niño y a su marido, asesinado. Para encontrarla, Roe y Martin vuelven sobre los pasos de Regina conduciendo desde el soleado estado de Georgia hasta el nevado Ohio donde encontrarán un nido de oscuros secretos familiares. Secretos que harán peligrar sus vidas.</p>  «En ese instante ni lo sospechaba, pero un día tan absolutamente corriente estaba a punto de ir espectacularmente mal». La vida de Roe Teagarden parece haberse serenado. Su matrimonio con Martin va bien, ha recuperado su trabajo en la biblioteca de Lawrenceton y no se ha topado con ningún cadáver en bastante tiempo. Pero una tarde, el hombre que le trae la leña enloquece en su jardín y Roe presiente que se trata del comienzo de una sucesión de episodios desagradables. Muy pronto, sus sospechas se confirman. Regina, la sobrina de Martin, aparece con un bebé que nadie sabía que había tenido. En seguida, la joven desaparece dejando atrás al niño y a su marido, asesinado. Para encontrarla, Roe y Martin vuelven sobre los pasos de Regina conduciendo desde el soleado estado de Georgia hasta el nevado Ohio donde encontrarán un nido de oscuros secretos familiares. Secretos que harán peligrar sus vidas.","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Spanish edition of A Fool and His Honey; cozy mystery with baby and murder.","Aurora Teagarden","1.0"
"Muerta y... ¡Acción!","Charlaine Harris","Ambientacion · Small town, Subgenero · Cozy mystery, Subgenero · Policiaco/Detective","Aurora Teagarden","7.0","Cuando un equipo de Hollywood aterriza en la pequeña ciudad de Lawrenceton, Georgia, la bibliotecaria a tiempo parcial Roe tiene la oportunidad de observar cómo se hace una película… hasta que un asesinato le hace retomar su papel como detective amateur. Ha pasado más de un año desde la muerte de su marido, Martin, y Roe Teagarden todavía está de luto. Lo único que quiere es que la dejen sola con su tristeza. Eso resulta imposible cuando un equipo cinematográfico llega a Lawrenceton. Ha venido a rodar una película basada en un libro escrito por su antiguo novio Robin Crusoe, un libro que detalla la investigación de ambos en una serie de asesinatos ocurridos años atrás. Los lugareños están encantados; Roe, no. No obstante, Robin empieza a involucrarla cuando descubren que la actriz protagonista —que interpreta a Roe— ha sido asesinada. Una vez más los dos unen sus fuerzas para frustrar los planes de un asesino... sin saber que el siguiente objetivo es la propia Roe.","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","100","Misterio cozy con rodaje de película.","Aurora Teagarden","1.0"
"Muerte en el club de lectura","Charlaine Harris","Ambientacion · Small town, Subgenero · Cozy mystery, Subgenero · Policiaco/Detective","Aurora Teagarden","8.0","Poppy, la cuñada de Roe, ha aparecido ensangrentada y muerta en la puerta trasera de su casa. Es cierto que Poppy tenía sus defectos, y que ella y su marido estaban teniendo serios problemas para mantenerse fieles el uno al otro, pero desde luego no se merecía ser brutalmente asesinada. 
La investigación de un caso como este nunca es fácil dada la atmósfera chismosa de cualquier pueblo pequeño. Y menos teniendo en cuenta los romances extramatrimoniales de la asesinada y la necesidad de proteger a su familia. Además, «Roe» también está viviendo una incipiente relación romántica y la aparición repentina de su medio hermano adolescente. 
Demasiadas cosas para una sola persona… incluso para una mujer tan equilibrada como Roe.
","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","100","Misterio cozy con asesinato en club de lectura.","Aurora Teagarden","1.0"
"La Rabia Oculta","Charlaine Harris","Ambientacion · Small town, Genero · Misterio/Thriller, Subgenero · Policiaco/Detective, Temas.Círculo Cerrado","","1.0","Nickie Callahan sabe cuidar de sí misma. Después de una exitosa, aunque corta, carrera como modela en la ciudad de Nueva Cork, decide retirarse a Knolls, una pequeña población de Tennessee. Allí vive con su mejor amiga mientras espera forjarse un nuevo futuro como escritora. Pero las mujeres de Knolls no están a salvo, y al tiempo que se ve encuelta en una espiral de crímenes brutalmente violentos, Nickie tendrá que impartir justicia por su cuenta.
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","90","Thriller de misterio sobre ataques a mujeres.","",""
"Cuidado. No mires atrás","Jennifer L. Armentrout","Genero · Misterio/Thriller, Tono · Amnesia, Tono · Familia disfuncional, Tono · Giro final, Tono · Narrador poco fiable, Tono · Protagonista incriminado","","1.0","Samantha es una extraña en su propia vida. Hasta la noche que desapareció con su mejor amiga Cassie, todo el mundo decía que era la chica 10. Pero Sam no recuerda nada sobre ella ni sobre lo que sucedió aquella noche. Mientras trata de ensamblar las piezas que va recordando, se da cuenta de que no quiere volver a ser quien era. Bajo la brillante fachada de su antiguo yo se ocultaba una chica odiosa, y estaba claro que ella y Cassie eran las mejores enemigas.  
Para Sam perder la memoria ha sido como ganar la lotería. Ahora tiene una nueva oportunidad para ser una mejor hija, hermana, amiga y además para ganarse el corazón de Carson Ortiz, un chico que siempre la ha cuidado a pesar de sus constantes desprecios. Pero Cassie sigue desaparecida, y alguien más sabe lo que ocurrió aquella noche, alguien que no está dispuesto a correr el riesgo de que Sam recupere la memoria. Sam solo quiere la verdad, para poder seguir adelante. Pero, ¿y si la única garantía de que siga viva es que no recuerde nada?
","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","100","Thriller juvenil con amnesia y desaparición, sin romance central.","",""
"Apple of My Eye","Claire Allan","Genero · Misterio/Thriller, Genero · Romance, Subgenero · Thriller domestico, Tono · Familia disfuncional, Tono · Maldicion/Transformacion","","1.0","**""Utterly addictive. Compulsive, twisty, tense."" — Claire Douglas, author of[Local Girl Missing](https://www.goodreads.com/book/show/31627176.Local_Girl_Missing ""Local Girl Missing"")**  
Just how far is a mother willing to go?   
When a mysterious note arrives for seven-months-pregnant nurse Eliana Hughes, she begins to question every aspect of her life—from her mixed feelings about motherhood to her strained marriage with Martin, who has grown distant in recent months.   
As the person behind the note intensifies their campaign to expose her husband as a cheat, Eliana finds herself unable to trust even her own instincts. The pressure builds, and she makes a mistake that jeopardises her entire future.   
Elsewhere, someone is watching. Someone who desperately wants a baby to call their own—and will go to any lengths to become a mother—and stay a mother…
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Thriller psicológico sobre acoso y maternidad, sin romance central.","",""
"Don't Look Back","Jennifer L. Armentrout","Subgenero · Thriller psicologico, Tono · Amnesia, Tono · Giro final, Tono · Protagonista incriminado","","1.0","Samantha is a stranger in her own life. Until the night she disappeared with her best friend, Cassie, everyone said Sam had it all - popularity, wealth, and a dream boyfriend.  Sam has resurfaced, but she has no recollection of who she was or what happened to her that night. As she tries to piece together her life from before, she realizes it's one she no longer wants any part of. The old Sam took ""mean girl"" to a whole new level, and it's clear she and Cassie were more like best enemies. Sam is pretty sure that losing her memories is like winning the lottery. She's getting a second chance at being a better daughter, sister, and friend, and she's falling hard for Carson Ortiz, a boy who has always looked out for her-even if the old Sam treated him like trash.  But Cassie is still missing, and the truth about what happened to her that night isn't just buried deep inside of Sam's memory - someone else knows, someone who wants to make sure Sam stays quiet. All Sam wants is the truth, and if she can unlock her clouded memories of that fateful night, she can finally move on. But what if *not* remembering is the only thing keeping Sam alive?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Thriller juvenil con amnesia y desaparición (misma obra que #13), sin romance central.","",""
"Los Chicos Que Cayeron en La Trampa","Jussi Adler-Olsen","Subgenero · Policiaco/Detective, Tono · Giro final, Tono · Protagonista incriminado","Department Q","2.0","El segundo caso de Carl Mørck, jefe del Departamento Q, unidad especial de casos no resueltos.   
A finales de los años noventa, la policía encuentra, en una casa de veraneo en el norte de Dinamarca, a dos hermanos adolescentes brutalmente asesinados. Han sido golpeados, torturados y violados sin compasión. La investigación policial apunta a que los culpables pueden hallarse entre un grupo de jóvenes de buena familia, hijos de padres exitosos, ricos, cultos. Sin embargo, el caso se cierra muy pronto por falta de pruebas concluyentes hasta que, pocos años más tarde, uno de los sospechosos se entrega sin razón aparente y confiesa el crimen. Supuestamente, el misterio se ha resuelto. Pero entonces ¿por qué los archivos del caso aparecen veinte años después en el despacho del inspector Carl Mørck, jefe del Departamento Q? Al principio Mørck piensa que el caso está ahí por error, pero pronto se da cuenta de que en la investigación original se cometieron muchas irregularidades…
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Segundo caso del Departamento Q, asesinato de adolescentes.","Department Q","1.0"
"El Mensaje Que Llegó en Una Botella","Jussi Adler-Olsen","Subgenero · Policiaco/Detective, Tono · Giro final, Tono · Protagonista incriminado","Department Q","3.0","¿Puede un terrible hecho del pasado seguir teniendo consecuencias devastadoras? Cuando una botella que contiene un mensaje escrito con sangre humana llega al Departamento Q, el subcomisario Carl Mørck y sus asistentes Assad y Rose logran descifrar algunas palabras de lo que fue la última señal de vida de dos chicos desaparecidos en los años noventa. Pero ¿por qué su familia nunca denunció su desaparición? Carl Mørck intuye que no se trata de un caso aislado y que el criminal podría seguir actuando con total impunidad.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Caso de desapariciones del Departamento Q, thriller policiaco.","Department Q","1.0"
"Expediente 64","Jussi Adler-Olsen","Subgenero · Policiaco/Detective, Tono · Giro final, Tono · Protagonista incriminado","Department Q","4.0","Varias desapariciones ocurridas en los años ochenta ponen de nuevo en marcha a Carl Mørck. Su investigación lo conduce hasta Nete Hermansen, una mujer que ha hecho todo lo posible por ocultar su trágico pasado hasta que este le vuelve a dar alcance.   Mientras Carl se enfrenta a las sombras de su propia existencia, y a los secretos de sus colaboradores Assad y Rose, deberá indagar en la historia del líder de un partido político de extrema derecha que defiende una siniestra ideología racista.","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Investigación de desapariciones y crimen político, thriller.","Department Q","1.0"
"El Efecto Marcus","Jussi Adler-Olsen","Subgenero · Policiaco/Detective, Tono · Giro final, Tono · Protagonista incriminado","Department Q","5.0","Marcus solo tiene quince años, pero no ha tenido infancia. Pertenece a una banda cuyo violento líder, Zola, obliga a sus miembros a robar y a cometer otros actos criminales. Cuando amenaza con mutilarlo para que dé más pena, Marcus huye. Pero antes descubre el cadáver de un hombre cerca del escondite de Zola. Más tarde, Marcus averigua que el muerto era William Stark, responsable de un proyecto de ayudas al desarrollo en Camerún, y se convierte así en un peligro tanto para Zola, que ejecutó el asesinato, como para quienes se lo encargaron, personas poderosas que desviaron los fondos del proyecto. La investigación arrastrará a Carl, Assad, Rose y Gordon, el nuevo miembro del Departamento Q, a una ciénaga de corrupción y crímenes en el mundo de la política y la economía, cuyos tentáculos llegan hasta la selva africana.","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Novela de misterio/crimen del Departamento Q, sin romance central.","Department Q","1.0"
"Sin Límites","Jussi Adler-Olsen","Subgenero · Policiaco/Detective, Tono · Giro final, Tono · Protagonista incriminado","Department Q","6.0","El comisario Christian Habersaat lleva diecisiete años intentando en vano esclarecer la muerte de una joven que apareció colgando cabeza abajo de un árbol. Desesperado, le pide ayuda a Carl Mørck, que, malhumorado como siempre, no le hace demasiado caso. Poco después, Habersaat muere en extrañas circunstancias y, al cabo de unos días, fallece también su hijo.   
Ante esta dramática noticia, Mørck no tiene más remedio que implicarse en el caso y, junto a sus asistentes Rose y Assad, se traslada a la isla de Bornholm. Allí, en la casa de Habersaat, descubren una enorme cantidad de material que el fallecido acumuló a lo largo de todos esos años. Las pistas llevan al Departamento Q hasta el atrayente y enigmático director de un centro esotérico, la Academia para la Fusión con la Naturaleza.   
Pero Carl, Rose y Assad aún no saben que sus vidas corren serio peligro…
","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Investigación de muerte de joven y centro esotérico.","Department Q","1.0"
"Selfies","Jussi Adler-Olsen","Subgenero · Policiaco/Detective, Tono · Giro final, Tono · Protagonista incriminado","Department Q","7.0","Ze zijn jong, knap, lopen in merkkleding en besteden dagelijks uren aan hun haar - en daarbij leven ze van een uitkering.   Deze jonge vrouwen denken alleen aan zichzelf, maar leiden een levensgevaarlijk bestaan, want langzaam maar zeker zijn ze een doorn in het oog geworden van een volstrekt labiele persoon die besluit om één voor één met al deze klaplopers af te rekenen.   In eerste instantie is het niet een zaak waar brigadier Carl Mørck veel aandacht aan besteedt. Hij is erachter gekomen dat hij onvrijwillig een pion is geworden in de interne machtsstrijd binnen de politieleiding en hij moet snel handelen om het bestaan van afdeling Q veilig te stellen. Als hij tegelijkertijd een tip krijgt dat een splinternieuwe moordzaak in veel opzichten aan een onopgehelderde moord van lang geleden doet denken, heeft hij meer dan ooit behoefte aan het vlijmscherpe overzicht van zijn collega Rose. Maar Rose is met ziekteverlof, omdat afschuwelijke gebeurtenissen uit het verleden haar achtervolgen.   Carl, Assad en Gordon werken dag en nacht om het wijdvertakte mysterie rond de twee moorden op te lossen, maar steken de meeste energie in het helpen van Rose. Naarmate ze steeds dieper in haar verhaal graven, begrijpen ze dat zich een misdrijf heeft afgespeeld. Dan lijkt Rose plotsklaps ook nog eens van de aardbodem verdwenen.  Selfies is het zevende boek in de internationale bestsellerserie Q van Jussi Adler-Olsen (1950), de ongekroonde koning van de Scandinavische misdaadliteratuur.","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Caso de asesinatos en serie y trama interna en el departamento.","Department Q","1.0"
"Victim 2117","Jussi Adler-Olsen","Genero · Misterio/Thriller, Subgenero · Policiaco/Detective, Tono · Giro final, Tono · Protagonista incriminado","Department Q","8.0","**In the heart-pounding next installment of the *New York Times* and #1 internationally bestselling Department Q series, a terrifying international investigation reveals the complex backstory of one of the department's own--the enigmatic Assad.** The newspaper refers to her only as Victim 2117--the two thousand one hundred and seventeenth refugee to die in the Mediterranean Sea. But to three people, the unnamed victim is so much more, and her death sets off a chain of events that throws Department Q, Copenhagen's cold cases division led by Detective Carl M�rck, into a deeply dangerous--and deeply personal--case: a case that not only reveals dark secrets about the past, but has deadly implications for the future.  For troubled Danish teen Alex, whose identity is hidden behind his computer screen, the death of Victim 2117 becomes a symbol of everything he resents and the perfect excuse to unleash his murderous impulses in real life. For Ghallib, one the most brutal tormentors from Abu Ghraib, Saddam Hussein's infamous prison, murdering Victim 2117 was the first step in a terrorist plot years in the making. And for Department Q's Assad, Victim 2117 is a link to his buried past--and a clue that the family he assumed was long dead may still be alive.  With the help of the Department Q squad--Carl, Rose, and Gordon--Assad must finally confront painful memories from his years in Syria and Afghanistan in order to hunt down Ghallib. But with the clock ticking down to Alex's first kill and Ghallib's devastating attack, the thinly spread Department Q will need to stay one step ahead of their most lethal adversary yet if they are to prevent the loss of thousands of innocent lives.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Caso internacional con vínculos personales de Assad, thriller.","Department Q","1.0"
"La Casa Del Alfabeto","Jussi Adler-Olsen","Arquetipo · Heroe reticente, Subgenero · Espionaje/Espias, Tono · Amnesia","","1.0","Enero, 1941. Dos pilotos de la RAF, amigos de la infancia, son derribados mientras sobrevuelan suelo enemigo. Consiguen escapar subiendo a un tren que parte del frente oriental con soldados mentalmente enfermos. En uno de los vagones, encuentran a varios oficiales muertos. Sin vacilar, James y Bryan tiran a dos de ellos del tren y ocupan sus lugares, pensando en escapar en cuanto tengan una oportunidad. Así, llegan hasta la Casa del Alfabeto, un hospital psiquiátrico en el corazón de Alemania. Su única oportunidad de sobrevivir es simular que están locos, pero ¿serán capaces de hacerlo durante meses sin convertirse en auténticos perturbados? ¿Son los únicos del pabellón que están fingiendo?","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Thriller histórico ambientado en la II Guerra Mundial, sin romance.","",""
"La Mujer Que Arañaba Las Paredes","Jussi Adler-Olsen","Subgenero · Policiaco/Detective, Tono · Giro final, Tono · Protagonista incriminado","Department Q","1.0","En Copenhague, el policía Carl Mørck está atravesando una de las épocas más negras de su vida. Tras ser sorprendido por el ataque de un asesino, un compañero suyo resulta muerto y otro gravemente herido. Su sentimiento de culpabilidad aumenta cuando su jefe y la prensa dudan de su actuación. Relegado a un nuevo departamento dedicado a casos no resueltos, Carl Mørck ve una oportunidad de demostrar su valía al descubrir las numerosas irregularidades cometidas en el caso de Merete Lynggaard. Cuando en 2002 esta mujer, una joven promesa de la política danesa, desapareció mientras realizaba un viaje en ferry, la policía decidió cerrar el caso por falta de pruebas. Sin embargo, Merete Lynggaard sigue viva aunque sometida a un terrible cautiverio. Encerrada y expuesta a los caprichos de sus secuestradores, sabe que morirá el 15 de mayo de 2007. Carl Mørck ha de utilizar todo su ingenio e intuición.","spa","LMisterioThriller","spa","","","","Misterio·Thriller·Terror","95","Primer caso del Departamento Q, thriller de secuestro.","Department Q","1.0"
