title,authors,tags,series,series_index,comments,#language_code,#subtitle,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"EL ÚLTIMO BOSQUE DE LA CELTIBERIA","Oscar Dulce Recio","_Biblioteca.Ficcion Historica","","1.0","","spa","Premio Novela Histórica Fundación Villalar-Castilla y León","","","","","0","Solo título y autor, no se reconoce con certeza.","",""
"The Count of the Sahara","Wayne Turmel","_Biblioteca.Ficcion Historica","","1.0","“… a brilliant novel, great historical fiction. I couldn’t put it down.” Angela Best “A cleverly woven heart-warming story. Warning, it can make you giggle!” Chris Dangerfield “Great characters brought to life in full color. A real page turner.” Ernie Fisher From the scorching desert to the freezing Midwest… a man struggles against the elements, himself and those around him. Leading a motley crew of ‘experts’ deep into the Sahara, Count de Prorok is about to make a great discovery. The acclaim of the finding the missing tomb of an ancient queen will set him and his family up for life. But, when plotted against, the money dries up as quickly as the goodwill of his team, and in more ways than one, the Count appears to be stranded, and left to the elements. The COUNT OF THE SAHARA is the story, recounted by his young assistant, of Count Byron de Prorok, a little known gentleman explorer of Africa in the 1920s. If you enjoy great historical fiction with a captivating plot, superb characters and a light sprinkling of humor, this book is for you!
**
","eng","","","","","Ficción general","90","Aventura histórica sobre un explorador en el Sahara en los años 20.","",""
"Las Guerras De Los Judíos","Flávio Josefo","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","La guerra de los judíos, del historiador Flavio Josefo, tienen como asunto central la guerra de ese pueblo contra los romanos, comandados por Vespasiano y por Tito. La obra comprende siete libros, los primeros componen una vasta introducción histórica con los antecedentes remotos y próximos de la guerra. En el libro tercero hace su aparición ya Vespasiano dando inicio la narración de la verdadera guerra, la cual se prolonga a todo el libro sexto, que concluye con la expugnación de Jerusalén. El libro séptimo hace las veces de epílogo, dándonos cuenta de las últimas operaciones militares dentro y fuera de Palestina y del triunfo de los Flavios en Roma. Josefo, un hebreo que había participado activamente en el conflicto, apoyado en el valor de su testimonio, ofrecen su versión de los hechos. La guerra de los judíos conlleva un evidente propósito pacificador
","spa","","Historical Fiction","","","No-Ficción","100","Obra histórica de Flavio Josefo sobre la guerra judía, es no ficción.","",""
"Historia De Un Pepe","Salome","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","La historia de un Pepe, se basa en un hecho que dio mucho que hablar en la nueva ciudad de Guatemala de finales del siglo XVIII.
El hecho más sobresaliente que narra esta novela sucedió en Guatemala en el año 1794, cuando, con el amparo de la noche, fue dejada en el umbral de la puerta de calle de la familia Gálvez, una pequeña canasta de mimbre en la cual se encontraba un bebé recién nacido.Todo apuntaba en aquellos días de chismes y habladurías, que había sido la madre acongojada, quien había abandonado a su pequeña criatura.La casa en donde fue dejado aquel pequeño infante era la del matrimonio Goyena y Gálvez, el Coronel del Ejército Manuel Fadrique y Goyena y su señora, Gertrudis Gálvez, pareja muy querida y respetada entonces, quien de inmediato adoptaron al niño.Nunca se supo quiénes eran los progenitores de aquel “Pepe”, quien recibió las aguas bautismales con el nombre de José Mariano Felipe Goyena y Gálvez, quien creció rodeado con el amor y los privilegios de sus nuevos padres.Con el tiempo, este niño resultó ser uno de los grandes hombres de la época, y la Historia lo señala como un verdadero patriota. Un hombre de Estado, un político hábil y de ideas definidas. De grandes energías e ideales a favor de Guatemala (Acuña).Cuando llegó a la edad de 18 años, este misterioso niño, quien Milla describe en su obra como un joven de ojos profundos y negros, se destacó como hábil político, al punto de llegar a ocupar la Jefatura de Estado de Guatemala, precisamente cuando soplaban ya en el ambiente patrio, los aires independentistas.En su época se le reconoció a José Mariano, como un hombre bueno y emprendedor, hacedor de grandes reformas, como la del antiguo Mercado Central.En la obra de Milla, el principal protagonista, es el joven José Gabriel, el Pepe, y la historia tiene como escenario la joven capital guatemalteca del año 1792, tiempo de serenos, espadas y de duelos; de pobrezas profundas y mujeres mal vistas y proscritas como criminales, por la supuesta falta de la deshonra, causada por una maternidad fuera de tiempo.
","spa","","Classics.Published 19th Century, Historical Fiction","","","Ficción general","80","Novela histórica guatemalteca del siglo XVIII sin romance central ni género especulativo.","",""
"The Stones of My Accusers","Tracy Groot","_Biblioteca.Ficcion Historica","","1.0","<p><i>You're the one,</i> Nathaniel had said. <i>You go and tell her, ""No stones.""</i><p>Rivkah knows her own sin all too well. She knows the prophets' judgments against women like her&#8212;and still believes that prostitution doesn't even compare to the most secret and shameful incident of her past. Not even her best friend knows what she did. Only God knows.<p>Determined to make her way to Caesarea Maritima to confront the mother of her beloved Nathaniel, Jorah has no time to consider the rumors she hears of her brother Jesus' resurrection. She'll stop at nothing to get the answers she needs.<p>A former Zealot, Joab is wrestling with delivering a message to a woman named Rivkah&#8212;a message that challenges everything he ever believed. A message from her son . . . ""No stones.""","eng","","FICTION / Christian / Historical, Fiction / Historical","","","Ficción general","70","Ficción histórica bíblica sobre la mujer adúltera; sin romance central ni magia.","",""
"Keeping Lucy","T. Greenwood","_Biblioteca.Ficcion Historica","","1.0",""" This story will have readers not only rooting for Ginny and Lucy, but thinking about them long after the last page is turned."" -- Lisa Wingate, New York Times Bestselling Author of Before We Were Yours   PopSugar's 30 Must-Read Books of 2019   Good Housekeeping's 25 Best New Books for Summer 2019   Better Homes & Gardens 13 New Books We Can't Wait to Read This Summer  The heartbreaking and uplifting story, inspired by incredible true events, of how far one mother must go to protect her daughter .  Dover, Massachusetts, 1969. Ginny Richardson's heart was torn open when her baby girl, Lucy, born with Down Syndrome, was taken from her. Under pressure from his powerful family, her husband, Ab, sent Lucy away to Willowridge, a special school for the “feeble-minded."" Ab tried to convince Ginny it was for the best. That they should grieve for their daughter as though she were dead. That they should try to move on.  But two years later, when Ginny's best friend, Marsha, shows her a series of articles exposing Willowridge as a hell-on-earth--its squalid hallways filled with neglected children--she knows she can't leave her daughter there. With Ginny's six-year-old son in tow, Ginny and Marsha drive to the school to see Lucy for themselves. What they find sets their course on a heart-racing journey across state lines—turning Ginny into a fugitive.  For the first time, Ginny must test her own strength and face the world head-on as she fights Ab and his domineering father for the right to keep Lucy. Racing from Massachusetts to the beaches of Atlantic City, through the Blue Ridge Mountains of Virginia to a roadside mermaid show in Florida, Keeping Lucy is a searing portrait of just how far a mother’s love can take her.  "" A heartrending yet inspiring novel that kept me reading late into the night. ” —Kristina McMorris, New York Times bestselling author of Sold on a Monday and The Edge of Lost","eng","","","Tono · Angst/Drama emocional","","Ficción general","90","Ficción histórica inspirada en hechos reales sobre una madre y su hija con síndrome de Down; sin romance central.","",""
"The Lode Stone (Medieval Stones Series)","Jane Ann McLachlan","medieval historical fiction, _Biblioteca.Ficcion Historica","","1.0","Three years ago Melisende's husband, Simon, went off with Lord Barnard and his men to join King Phillippe of France on the Third Crusade. Now Lord Barnard is dead and his son, Lord Charles, has come home from the crusades with the last of their men -- and Simon is not among them. Left to fend for herself and her two young children, Melisende is determined to discover what happened to Simon at the battle for Acre. The truth is far stranger and more unsettling than she could ever have imagined.
","eng","","medieval historical fiction","Subgenero · Belica/Guerra, Tono · Angst/Drama emocional","","Ficción general","80","Novela histórica sobre las Cruzadas, con búsqueda del esposo; el romance no es el pilar central.","Medieval Stones","1.0"
"Decebal Triumphant","Peter Jaksa","Historical, Find Magic, _Biblioteca.Ficcion Historica","Rome - Dacia Wars","1.0","85 A.D. The Roman Empire expanded its conquered territories north to the Danubius (Danube) River. One kingdom is still a serious threat – the third most powerful military power in Europe and the richest nation in the region. That nation is Dacia, led by its young and brilliant military leader King Decebal.   
Decebal Triumphant is the story of the early days (85 – 99 A.D.) of the Roman – Dacian wars. It is told from the point of view of King Decebal and the Dacian people fighting for their freedom and survival, and also examines the intrigues of Emperor Domitian, a rising military star named Trajan, and the Roman nobility fighting for power. Going beyond historical myths and Hollywood stereotypes, this novel tells the rich story of an epic clash of cultures and of brutal military conflicts that shaped the future of two nations.
","eng","","","Subgenero · Belica/Guerra","","Ficción general","90","Ficción histórica sobre las guerras romano-dacias; sin romance central ni fantasía.","",""
"A Moth to the Flame","Dougie McHale","Historical, _Biblioteca.Ficcion Historica","The Hellenic Collection","5.0","**A shared past. A life changing secret. Can love conquer all?** **1992** For the first time, Brodie feels truly happy when he spends the summer in Edinburgh with Elora, the woman who will change his life. When a devastating betrayal casts everything in a new light, Elora returns home to Greece, leaving behind a note with the ‘Forgive Me.’ **2018** Brodie's wife’s sudden passing leaves him bereft, yet resilient—he has survived tragedy before. When he chances upon a photograph of Elora, now a bestselling author, he has to see her again, leading him from his life in Edinburgh to the idyllic olive groves of a Greek island and Elora. As their feelings for each other tentatively grow, Brodie learns more about their shared past, and the picture that emerges is not at all the one he expects.To live a full and happy life, Elora must choose between protecting her heart and fighting for the life—and the love—she wants. Not only must she tell the truth of what happened all those years ago, but she must also find a way to gain Brodie's forgiveness. But after so many years, is it even possible for him to trust her?If they are to regain what they once had, it can only be by unearthing long-buried secrets and facing the shocking truth that has kept them apart far too long. **A Moth to the Flame explores the complexity of relationships, the repercussions of our personal choices, and the responsibilities we have to the ones we love.** What readers are saying about A Moth to the Flame.Kept me in suspense right till the end - Amazon review.What a fantastic novel, I couldn’t put it down - Amazon review.A sad but beautiful story of love, struggles & loss that made me cry but also smile - Amazon review.Wow! What can I say? Devoured this in one sitting couldn't put it down - Amazon review. Got totally lost in the storyline. The author almost physically pulls you into the very heart of his books - Amazon review.","eng","","","Dinamica · Segunda oportunidad, Tono · Angst/Drama emocional","","Romance contemporáneo","90","Relato de reencuentro amoroso después de años; el romance es el motor principal de la trama.","",""
"A Frenzy of Sparks","Kristin Fields","Historical, young adult, adult, _Biblioteca.Ficcion Historica","","1.0","**From the author of *A Lily in the Light* comes a poignant story of innocence lost and what it means to grow up too fast.** It’s 1965, and thirteen-year-old Gia, along with her older brother and cousins, are desperate to escape their sleepy, tree-lined neighborhood where nothing ever happens. The only thing Gia would miss is the surrounding marsh, where she feels at home among sea birds and salt water.  But when one of Gia’s cousins brings drugs into their neighborhood, it sets off a chain of events that quickly turn dangerous. Everyone will be caught in the ripples, and some may be swept away entirely. Gia is determined to keep herself and her family afloat while the world is turned upside down around her. Can she find a way to hold on to the life she was so eager to leave behind, or will she have to watch it all disappear beneath the marsh forever?  At turns heart-wrenching and hopeful, *A Frenzy of Sparks* explores a world where survival is the attempt to move forward while leaving pieces of your heart behind.","eng","","","Subgenero · Young adult/Juvenil, Tono · Angst/Drama emocional","","Ficción general","80","Novela de iniciación ambientada en 1965, centrada en la familia y el peligro; sin romance central.","",""
"Larcum Mudge","Philip K. Allan","Historical, _Biblioteca.Ficcion Historica","Alexander Clay","8.0","On a hot night in the Caribbean, a lone Royal Navy ship commanded by a sadistic captain, succumbs to bloody mutiny. With the Peace of Amiens imminent, Captain Alexander Clay and the crew of the Griffin are sent to track down and recapture the rebel ship. But when they arrive in the Leeward Islands, they find that much more is at stake. Smuggling and corruption seem to be rife in those sunlit waters, while ghosts from the past stir in the shadows. The discovery of a hidden French ship of the line, threatening to cut loose and devastate British commerce, will test Clay and his crew to the limit. And who is Larcum Mudge, the mysterious new recruit who has joined the crew of the Griffin?","eng","","","Subgenero · Belica/Guerra","","Misterio·Thriller·Terror","80","Naval mystery with mutiny and corruption in the Caribbean.","",""
"Our Last Letter","Liz Trenow","Find Magic, Find wizard, Find Witch, Find Alien, _Biblioteca.Ficcion Historica","","1.0","","eng","Absolutely gripping, epic and heartbreaking World War 2 historical fiction","","","","","20","Only title and author, not recognized.","",""
"The Vinyl Underground","Rob Rufus","Historical, Fiction.Historical.20th century, Coming-of-age, Young Adults (13-18), Find Magic, Find Alien, _Biblioteca.Ficcion Historica","","1.0","Dig it.   During the tumultuous year of 1968, four teens are drawn together: Ronnie Bingham, who is grieving his brother’s death in Vietnam; Milo, Ronnie’s bookish best friend; “Ramrod,” a star athlete who is secretly avoiding the draft; and Hana, the new girl, a half-Japanese badass rock-n-roller whose presence doesn’t sit well with their segregated high school.   The four outcasts find sanctuary in “The Vinyl Underground,” a record club where they spin music, joke, debate, and escape the stifling norms of their small southern town. But Ronnie’s eighteenth birthday is looming. Together, they hatch a plan to keep Ronnie from being drafted. But when a horrific act of racial-charged violence rocks the gang to their core, they decide it’s time for an epic act of rebellion.","eng","","Young Adult Fiction / Historical / United States / 20th Century / Social Themes / Prejudice & Racism / Coming of Age","Subgenero · Young adult/Juvenil, Tono · Angst/Drama emocional","","Ficción general","90","Historical coming-of-age during 1968, social issues.","",""
"No One Dies","Annie Pearson","FICTION / Historical, Find Cock, Find Magic, Find Witch, Find Elf, _Biblioteca.Ficcion Historica","","1.0","**A Restoration-era caper, a heist in search of justice.**
To survive in Cambridgeshire, 1685, Tamsin Foxe leads the once noble Foxe family in genteel highway robbery. Disguised as her bedridden twin brother, Tamsin endeavors to fulfill their dying uncle's wish: ""Find who cheated us. And restore the Marborne title."" But she's distracted: the woman she loves is in grave danger.
Masquerading as a Catalan noble, Lieutenant Rowland Foxe hunts the financial supporters of a failed rebellion. He knows a great deal about how to cheat a cheater. But in secret, his heart despairs: the woman he loves believes he's a traitor.
Tamsin, Rowland, and their cousins must make a bold attempt to save the family when their neighbors' betrayal places them all in even deeper jeopardy. A risky heist might save them--if they can hold to their strict Restoration Rules, especially Rule #1: **No One Dies**!
","eng","","Fiction / Historical","Representacion · LGBTQ+ (FF), Subgenero · Heist/Atraco","","Romance histórico","80","Romance central in Restoration-era with heist, LGBTQ+.","",""
"The City of a Thousand Faces","Walker Dryden","Find Magic, _Biblioteca.Ficcion Historica","","1.0","","eng","A sweeping historical fantasy saga based on the hit podcast Tumanbay","","","","","20","Only title and author, not recognized.","",""
"Escaping on the Danube River","Shmuel David","Find Magic, Find Demon AND Angel, Find Alien, _Biblioteca.Ficcion Historica","World War II Brave Women Fiction","5.0","","eng","A WW2 Historical Novel, Based on a True Story of a Jewish Holocaust Survivor","","","","","20","Only title and author, not recognized.","",""
"The Lincoln Moon","Michael Nelson & Michael Price Nelson","_Biblioteca.Ficcion Historica","","1.0","","eng","A Historical Novel","","","","","20","Only title and author, not recognized.","",""
"Eli Hill","Katharine Du Pre Lumpkin","Find Cock, Find Magic, _Biblioteca.Ficcion Historica","","1.0","<p>Katharine Du Pre Lumpkin's 1946 autobiography <i>The Making of a Southerner</i> is considered a classic testament of a white southerner's commitment to racial justice in a culture where little was to be found. Lumpkin's unpublished novel <i>Eli Hill</i>, which was discovered in Lumpkin's papers after her death, contributes to the same struggle by imaginatively re-creating a historical figure and a moment in the violent white resistance to Reconstruction.<br>Born to enslaved parents in York County, South Carolina, Elias Hill (1819&#8211;1872) learned to read and write and became a popular Baptist minister. Owing to his influence, Hill was one of many victims of a series of vicious attacks by the Ku Klux Klan. After testifying before a congressional committee that emigration was the only solution, Hill and 135 other formerly enslaved people emigrated to Liberia.<br>Lumpkin had trained as a sociologist and historian to use archival sources and data in arguing for socioeconomic...","eng","","","Tono · Angst/Drama emocional","","Ficción general","90","Historical fiction based on real person.","",""
"The Annual Banquet of the Gravediggers' Guild","Mathias Énard & Frank Wynne","Fiction, Fairy Tales; Folk Tales; Legends & Mythology, Occult & Supernatural, World Literature, france, 21st Century, _Biblioteca.Ficcion Historica","","1.0","From the winner of the Prix Goncourt, an exciting comic masterwork rooted in the French countryside.
To research his thesis on contemporary agrarian life, anthropology student David Mazon moves from Paris to La Pierre-Saint-Christophe, a village in the marshlands of western France. Determined to understand the essence of the local culture, the intrepid young scholar scurries around restlessly on his moped to interview residents.  
But what David doesn’t yet know is that here, in this seemingly ordinary place, once the stage for wars and revolutions, Death leads a dance: when one thing perishes, the Wheel of Life recycles its soul and hurls it back into the world as microbe, human, or wild animal, sometimes in the past, sometimes in the future. And once a year, Death and the living observe a temporary truce during a gargantuan three-day feast where gravediggers gorge themselves on food, drink, and language.  
Brimming with Mathias Énard’s characteristic wit and encyclopedic brilliance, *The Annual Banquet of the Gravediggers’ Guild* is a riotous novel where the edges between past and present are constantly dissolving against a Rabelaisian backdrop of excess. 
","eng","","Fiction, Fairy Tales; Folk Tales; Legends & Mythology, Occult & Supernatural, World Literature, France, 21st Century","","","Ficción general","90","Literary fiction with magical realism elements.","",""
"The Halfpenny Girls","Maggie Mason","Historical Saga, Find Cock, Find Magic, _Biblioteca.Ficcion Historica","","1.0","**THE BRAND NEW SAGA SERIES BY MAGGIE MASON - MEET THE HALFPENNY GIRLS. . .**
**'In the grand tradition of sagas set down by the late and great** * ***Catherine Cookson** **'** Jean Fullerton on *Blackpool Lass*
* **Down on their luck, all the have left is friendship . . .** * 
It is 1937 and Alice, Edith and Marg continue to face hardships every day, growing up on one of the poorest streets in Blackpool. Penniless, their friendship has helped them survive this far, but it'll take more than that to see them through the dark days that lie ahead . . . 
**Alice** is coping with a violent father and the weight of the duty she carries to support her family, **Marg** is left reeling after a dark secret about her birth comes to light and threatens to destroy the life she knows, and **Edith** is fighting to protect her alcoholic mother from the shame of their neighbours and keep her brother on the straight and narrow. 
A chance encounter at the Blackpool Tower Ballroom promises to set their lives on a new path, one filled with love and safety and hope for a brighter future. Will The Halfpenny Girls, who have never known anything but poverty, finally find happiness? And if they do, will it come at a price? 
**The first in a brand new series from reader favourite Maggie Mason,** The Halfpenny Girls**is the perfect heart-warming family saga about overcoming hardship and the value of friendship. Perfect for fans of Val Wood, Kitty Neale and Rosie Goodwin.**
Readers LOVE Maggie Mason's Blackpool sagas: 
'5 **stars - I wish I could give it more**. Wonderful read.' 
'Another **must read book** ' 
'What a brilliant book. **I couldn't put it down**!' 
'I was hooked from the first page . . . **this author is a must read** ' 
'A **totally absorbing** read' **
","eng","","Historical Saga","Ambientacion · Small town","","Romance histórico","90","Historical saga with romance central, 1930s Blackpool.","The Halfpenny Girls","1.0"
"Amantes De Buenos Aires","Alberto S. Santos","Histórica, _Biblioteca.Ficcion Historica","","1.0","Raquel está a punto de casarse en Buenos Aires cuando recibe la inesperada visita de un abogado portugués, que cambiará su vida por completo. Juntos reconstruirán la historia de los orígenes de ella, marcada por un amor contra todas las reglas, sangre y pasión. Una fascinante saga familiar entre España, Portugal y la Argentina, basada en hechos reales, que se remonta a un siglo de historia. Una novela apasionante que retrata cuatro generaciones de mujeres fuertes, que luchan por la verdad del pasado que las une.
","spa","","Histórica","Dinamica · Prohibido","","Romance histórico","90","Family saga with central forbidden romance across generations.","",""
"The French House","Helen Fripp","Find Magic, _Biblioteca.Ficcion Historica","","1.0","","eng","Gripping and heartbreaking French historical fiction","","","","","20","Only title and author, not recognized.","",""
"Lives Without End","Anne McLoughlin","Family Sage Historical Fiction, _Biblioteca.Ficcion Historica","The Lives Trilogy","2.0","An emotional tale of family secrets spanning three generations.   
Mary Ann survives the Irish Potato Famine of the 1840s and lives on to become matriarch of the McNamara family. This solid rock of a woman is the person they all turn to when in need of refuge, understanding, and a dose of wisdom. What they don’t know is that for many years Mary Ann has been hiding a heartache of her own.   
Her granddaughter, beautiful but emotionally fragile Bridie, full of hope and courage, survives a life of hard knocks. Emigrating from Ireland, she builds a new life in Boston. Following an affair that would rock society were it to be discovered, she is forced into making a heart-breaking decision. She returns home to Ireland with her arsenal of secrets, in her search for peace and the meaning of life.   
Hidden lives, memories of the past – who knows what lies beneath the surface we present to the world?
","eng","","Amazon Bestseller, Historical Irish Fiction, Irish famine, Kindle Unlimited, family saga, Irish fiction","","","Ficción general","90","Novela histórica familiar sobre secretos y emigración, sin romance central.","",""
"Take What You Can Carry","Gian Sardar","Historical, General, Literary, Women, Find Magic, Find Alien, _Biblioteca.Ficcion Historica","","1.0","An aspiring photographer follows her dreams and faces her fears in a poignant novel about finding beauty, promise, and love amid the chaos of war-torn Kurdistan. It's 1979. Olivia Murray, a secretary at a Los Angeles newspaper, is determined to become a photojournalist and make a difference with her work. When opportunity arrives, she seizes it, accompanying her Kurdish boyfriend, Delan, to northern Iraq for a family wedding, hoping to capture an image that lands her a job in the photo department. More important, though, the trip is a chance to understand Delan's childhood and bridge the differences of their pasts. Yet when the return home proves less safe than Delan believed, Olivia is confronted with a reality she had not expected, and is awakened to the dangers of a town patrolled by Iraqi military under curfew and constant threat. But in this world torn apart by war, there are intoxicating sights and scents, Delan's loving family, innocence not yet compromised, and small acts of kindness that flourish unexpectedly. All of it will be tested when Olivia captures a shattering, tragic moment on film, one that upends all their lives and proves that true bravery begins with an open heart.
","eng","","Fiction, Historical, General, Literary, Women","","","Ficción general","70","Drama bélico y crecimiento personal de una fotógrafa en Kurdistán; romance secundario.","",""
"Painting the Light","Sally Cabot Gunning","_Biblioteca.Ficcion Historica","","1.0","<p><strong>From the critically acclaimed author of Monticello and The Widow's War comes a vividly rendered historical novel of love, loss, and reinvention, set on Martha's Vineyard at the turn of the nineteenth century.</strong><br/>Martha's Vineyard, 1898. In her first life, Ida Russell had been a painter. Five years ago, she had confidently walked the halls of Boston's renowned Museum School, enrolling in art courses that were once deemed ""unthinkable"" for women to take, and showing a budding talent for watercolors.</p> <p>But no more. Ida Russell is now Ida Pease, resident of a seaside farm on Vineyard Haven, and wife to Ezra, a once-charming man who has become an inattentive and altogether unreliable husband. Ezra runs a salvage company in town with his business partner Mose Barstow, but he much prefers their nightly card games at the local pub to his work in their Boston office, not to mention filling haystacks and tending sheep on the farm at home&#8212;duties that have...","eng","","","Dinamica · Matrimonio en crisis/Reconciliacion, Ambientacion · Small town","","Romance histórico","70","Novela histórica ambientada en 1898 con reinvención personal y matrimonio en crisis, romance central.","",""
"Only the Leaves Whispering","Jim Ellis","Historical, _Biblioteca.Ficcion Historica","The Last Hundred","1.0","Jock MacNeil, the eldest son of a Highland Catholic family, leaves school at thirteen to follow his father's footsteps and become a blacksmith. But after a family tragedy changes his plans, Jock joins CSS Alabama and heads to the New World. He befriends the retired Royal Navy Surgeon, James Gunn, and David Llewellyn Assistant Surgeon of Alabama. Living among the seamen, Jock learns how to take responsibility - and how to defend himself. But can Jock survive the perilous journey, and what awaits him in the Civil War on the other side of the Atlantic? This is the large print edition of Only The Leaves Whispering, with a larger font / typeface for easier reading.","eng","","","Arquetipo · Militar/SEAL","","Ficción general","90","Novela histórica de un joven en la Guerra Civil, sin romance central.","",""
"Project Neon","Jonathan K. Crockett","Find Magic, Find Alien, Find Mafia, _Biblioteca.Ficcion Historica","","1.0","**Project Neon – Is a work of fiction inspired by real events. This historical sci-fi weaves a story of intrigue, bringing together people, affairs and events that seem unrelated** **Fact based historical accounts of Nazi Germany from 1920s -1940s.** **A 1989 court case against an alleged war criminal, whose lawyer, Whitaker, uses unconventional defense tactics against, Evelyn Brown, the assistant D.A., who is intent on winning.** **An unstable professor, Hunsaker, believing he will develop time travel sits, in his basement, waiting for rats to appear as proof of his future success.** **A fanatic, Erick Hallbrook, willing to die for his cause to succeed.** **A dedicated Military Major willing to do what it takes to stop Hallbrook.** **The development of an ultra-secret government program called Project Neon.** **A shadow organization’s plot, forces Admiral Crowe, Chairman of the Joint Chiefs of Staff, to scramble in reaction to the global threat.** **Changing historical timelines.** **A government cover-up.** *Help independent authors out by rating their books, leaving feedback, posting on social media, and sharing with friends.","eng","","","Ambientacion · Viaje en el tiempo, Subgenero · Thriller psicologico","","Ciencia Ficción","80","Ficción histórica con viajes en el tiempo, trama de conspiración y elementos tecnológicos, sin romance central.","",""
"The Matter of Black Lives","Jelani Cobb","Find Pussy, Find Magic, vampire, Find Witch, Find Alien, Find Mafia, _Biblioteca.Ficcion Historica","","1.0","<p><strong>A collection of the New Yorker's groundbreaking writing on race in America&#8212;including work by James Baldwin, Toni Morrison, Ta-Nehisi Coates, Hilton Als, Zadie Smith, and more&#8212;with a foreword by Jelani Cobb</strong></p><p>This latest anthology from the pages of the New Yorker is a bold and telling portrait of Black life in America, featuring astonishing early work from Rebecca West's account of a lynching trial and James Baldwin's ""Letter from a Region in My Mind"" (which later formed the basis of The Fire Next Time) to more recent writing by Toni Morrison, Ta-Nehisi Coates, Zadie Smith, Hilton Als, Jamaica Kincaid, Malcolm Gladwell, Elizabeth Alexander, Chimamanda Ngozi Adichie, Doreen St. F&#233;lix, Henry Louis Gates Jr., Kelefa Sanneh, and more. Reaching back across the last century, The Matter of Black Lives includes a wide array of material from the New Yorker archives ranging across essays, reported pieces, profiles, criticism, and historical pieces....","eng","","","","","No-Ficción","100","Colección de artículos periodísticos sobre raza en EE.UU.","",""
"A Debt of War","Michael Ringering","Historical Fiction, Military Fiction, Literary Fiction, War Fiction, Find Magic, World War II, _Biblioteca.Ficcion Historica","","1.0","<p><strong>A dying wish and a mysterious manuscript bring to light a heart-rending tale of one soldier's undying commitment to pay a debt owed, transcending both ideology and racial divide, leading to the ultimate price paid.</strong></p><p>At his mother's funeral, Paul Bacca, an accomplished publisher, is approached by a mysterious decorated military veteran who claims to have been sent at Paul's mother's final request: deliver an unpublished manuscript of the only novel written by an acclaimed poet.</p><p>Paul subsequently discovers a shocking family secret that forever changes his life and those of his siblings. The propulsive, gut-wrenching story Paul reads details an inconceivable friendship, a tale of lives forever entwined in a debt owed between enemies.</p><p><strong>EVOLVED PUBLISHING PRESENTS</strong> a story of fear and honor, life and death, war and humanity, in a journey binding World War II history to a modern-day family. [DRM-Free]</p><p><strong>BOOKS BY MICHAEL...","eng","","Historical Fiction, Military Fiction, Literary Fiction, World War 2, World War II, War Fiction","","","Misterio·Thriller·Terror","60","Intriga en torno a un manuscrito y un secreto familiar con trasfondo bélico; sin romance central.","",""
"I Am a Dahomey Warrior","DIONNE D. HUNTER","Poetry, Action & Adventure, Short Stories (Single Author), coming of age, _Biblioteca.Ficcion Historica","","1.0","As an African American, have you hungered for information about your Ancestral home? Or hungered for stories with historical significance that show your ancestors as anything but slaves?    In your youth, or even now as a parent, have you searched for fiction that displays women and girls of African heritage as Strong, Powerful, Complex, Beautiful beings, but found only one-dimensional caricatures?   “I AM A DAHOMEY WARRIOR” follows the gripping journey of a young girl coming of age prior to the colonization of Africa. This narrative poem follows our heroine from the early days of her childhood through the heart-stopping events that mold her into the warrior she is today.    Although fictional, this story is based on a real tribe of female African Warriors. The Dahomey Warriors, through their incredible power and prowess, were often compared to the mythical Greek Amazons by European scouts. These comparisons continue to this day.   Come, step into the mind of a warrior and be lead through her adventures by the use of poetry as a means of powerful storytelling.  The Huntress pulled me closer, hugging me tightly. She looked down at me with dark piercing eyes and said, “None of this is your fault.” “Today you are only a child, and you did what you were able to do, Survive!”","eng","","Poetry, FICTION SHORT STORIES, FICTION COMING OF AGE, NARRATIVE POETRY, FICTION ACTION ADVENTURE","","","Ficción general","80","Poema narrativo histórico sobre una guerrera dahomey, sin romance central.","",""
"Thirty Pieces of Silver","Ben Elves","Historical, General, Find Cock, Find Magic, Find Witch, Find Demon AND Angel, Find Alien, _Biblioteca.Ficcion Historica","","1.0","The Roman Empire and the world is about to change and over the next several hundred years, millions will die as a result.In the Middle East a child has been born - a child who will grow into a man who will eventually change the way the world is run. He is a man destined to fulfil a prophecy. A man who will start a global revolution. A man who will shake the very foundations of society. A man whose philosophy will be misinterpreted and twisted to give power to what will become one of the richest organisations on Earth. A man whose name will be used to justify the most horrific deeds this world has ever known.Caught between the rule of mighty Rome and the power of the High Priests, this man wants to free his people and bring them closer to God. This man will become a legend.This man is called Jesus.
","eng","","Fiction, Historical, General","","","Ficción general","90","Novela histórica/religiosa sobre Jesús, sin romance central.","",""
