title,authors,tags,series,series_index,comments,identifiers,languages,#subtitle,#title_opf,#info,#libreria
"Hidden Crimes","Michael Hambling","","","1.0","Exploring a foggy Wiltshire hill path, a walker hears a distant scream and calls the police, but the attending officers find nothing.
Two days later, a farmworker comes across a woman’s body, her head bashed in. The victim is quickly identified as Bridget Kirkbride, who lived alone in a small cottage in a pretty nearby village.
Detective Sophie Allen is called in. It’s her first major case as head of the newly-formed Wessex Serious Crime Unit — and she’s under pressure to get a quick result.
Bridget was a mainstay of village life, always ready to help out her neighbours. No one has a bad word to say about her.
So who killed her?
Her supposedly devoted son, Grant, has disappeared without trace.
Then a body is pulled out of a reed bed in the River Severn.
Sophie and her team are in a race against time to uncover the truth before anyone else pays the ultimate price.
","mobi-asin:B0BGQCB92Q","eng","","Hidden Crimes","","Misterio·Thriller·Terror [REVISAR]"
"Demon in Disguise (A Broken Lives Short Story Book 3)","Marita A. Hansen","","","1.0","","mobi-asin:ddd3d159-c780-45d0-a6f5-a0f89ffea945","eng","","Demon in Disguise (A Broken Lives Short Story Book 3)","",""
"Demon in Disguise (A Broken Lives Short Story Book 3)","Marita A. Hansen","","","1.0","","mobi-asin:B07G2QJ1GL","eng","","Demon in Disguise (A Broken Lives Short Story Book 3)","",""
"Path of Descent: Ambrosine","Noreen Harrison","","","1.0","","mobi-asin:48ec1fa0-988b-4756-b6f2-60494183880d","eng","","Path of Descent: Ambrosine","",""
"The Legacy (Ambrosine Book 2)","Noreen Harrison","","","1.0","","mobi-asin:B00JMSA4ZC","eng","","The Legacy (Ambrosine Book 2)","",""
"Ambrosine","Noreen Harrison","","","1.0","","mobi-asin:B01463CGIU","eng","","Ambrosine","",""
"Path of Descent: Ambrosine","Noreen Harrison","","","1.0","","mobi-asin:B00S33XFYO","eng","","Path of Descent: Ambrosine","",""
"Braver With You (Great Love Book 1)","A. Hart","","","1.0","","mobi-asin:b4d5d78e-3202-4fd9-a7be-a2c79b13d7b8","eng","","Braver With You (Great Love Book 1)","",""
"Braver With You (Great Love Book 1)","A. Hart","","","1.0","","mobi-asin:B0128N4KE8","eng","","Braver With You (Great Love Book 1)","",""
"Braver With You (Great Love Book 1)","A. Hart","","","1.0","","mobi-asin:B0128N4KE8","eng","","Braver With You (Great Love Book 1)","",""
"Stronger By Your Side (Great Love Book 2)","A. Hart","","","1.0","","mobi-asin:B016618RQ0","eng","","Stronger By Your Side (Great Love Book 2)","",""
"Serenity Reborn (The Shelby Alexander Thriller Series Book 7)","Craig A. Hart & S. J. Varengo","","","1.0","","mobi-asin:B084JQ271X","eng","","Serenity Reborn (The Shelby Alexander Thriller Series Book 7)","",""
"Dragon's Choice","Juniper Hart","","Misty Woods Dragons","1.0","","mobi-asin:B07C8RDFT2","eng","","Dragon's Choice","",""
"Dragon Fate","Juniper Hart","","Misty Woods Dragons","1.0","","mobi-asin:B07CKB1WSH","eng","","Dragon Fate","",""
"Dragon's Baby","Juniper Hart","","Misty Woods Dragons","2.0","","mobi-asin:B07B4D6T3N","eng","","Dragon's Baby","",""
"Deceived by the Shifter","Juniper Hart","","Birch Mountain Alphas","5.0","","mobi-asin:B077PRMBNB","eng","","Deceived by the Shifter","",""
"Dragon Desire","Juniper Hart","","Hollow Earth Dragons","1.0","","mobi-asin:B07DW7X715","eng","","Dragon Desire","",""
"Tidewater: A Novel of Pocahontas and the Jamestown Colony","Libbie Hawker","","","1.0","","mobi-asin:B00LVO19CC","eng","","Tidewater: A Novel of Pocahontas and the Jamestown Colony","",""
"Daughter of Sand and Stone","Libbie Hawker","","","1.0","","mobi-asin:B00VOLHKHU","eng","","Daughter of Sand and Stone","",""
"A Dark Beginning: A China Dark Novel","Paula Hawkes","","","1.0","","mobi-asin:B0139Q1VZY","eng","","A Dark Beginning: A China Dark Novel","",""
"The Day That Saved Us","Mindy Hayes","","","1.0","BEFORE life wasn’t perfect. Peyton Parker was grieving the loss of her father. Brodee Fisher was battling for control over his future with his father. But every summer, their families came together to rejuvenate and lose themselves in the salt air of Cape Hatteras. Nothing could put a damper on the sun, sand, and surf. 
AFTER everything changed.
**
","mobi-asin:B01EPKI408,amazon:B01EPKI408","eng","","The Day That Saved Us","","Ciencia Ficción [REVISAR]"
"Kaleidoscope (Faylinn Book 1)","Mindy Hayes","","","1.0","","mobi-asin:B00BR54RNS","eng","","Kaleidoscope (Faylinn Book 1)","",""
"Ember","Mindy Hayes","","","1.0","","mobi-asin:a421a4fc-eb6e-4a1b-a05f-c5f2477e0492","eng","","Ember","",""
"Luminary","Mindy Hayes","","","1.0","","mobi-asin:B00NAK33ME","eng","","Luminary","",""
"Heart Of Stone","S. I. Hayes","","","1.0","","mobi-asin:B015RZH6GS","eng","","Heart Of Stone","",""
"En Tus Manos","Nichi Hodgson","Contenido Sexual, BDSM","","1.0","Una decepción amorosa, un encuentro casual, un futuro incierto, la vertiginosa curiosidad..., me llevaron por caminos insospechados.  
No sabía qué hacer con mi vida cuando conocí a Sebastian. La química fue intensa e inmediata. Noté cómo se derrumbaban todas mis defensas en cuanto me dio la mano.  
Pero Sebastian era tan bello por fuera como atormentado por dentro. A través de él me vi arrastrada a los más oscuros placeres, a las más intensas fantasías sexuales, pasivas y activas, de dominio y sumisión, a las experiencias más sensuales y extremas que haya vivido nunca.  
La nuestra fue una historia de amor a la que no pude resistirme. Una historia que me ató de pies y manos, física y psíquicamente.  
De una oscura y adictiva sensualidad erótica, no exenta de sutiles pinceladas de humor, ""En tus manos"" es la historia real, autobiográfica, de una obsesión amorosa que te dejará sin aliento.
","mobi-asin:a41df6b1-f1c3-486a-b834-04dd84b1cbcd,isbn:9788420676067,goodreads:18044803","spa","","En Tus Manos (spa)","","Romance contemporáneo [REVISAR]"
"Space Team: The Time Titan of Tomorrow","Barry J. Hutchison","","","1.0","","mobi-asin:B078P52V4H","eng","","Space Team: The Time Titan of Tomorrow","",""
"Dead in the Water","Barry J. Hutchison","","Dan Deadman Space Detective","3.0","","mobi-asin:75f408ad-5f5a-4dce-8671-5a5714da7ba5","eng","","Dead in the Water","",""
"Misterio en Los Pantanos De Rannoch","Mariano Hispano","Jovenes Adultos (13-18)","Los gorriones","3.0","La leyenda asegura que en el lago Rannoch en Inglaterra, vive un monstruo milenario. ¿Podrían encontrar Cyrus, charly y Khoa Thai mejor marco para vivir una aventura?
","goodreads:39508558","spa","","Misterio en Los Pantanos De Rannoch","","Ficción general [REVISAR]"
"Robos Misteriosos","Mariano Hispano","Jovenes Adultos (13-18)","Los gorriones","1.0","Tres hermanos ayudan a desentrañar un misterio
","goodreads:39508571","spa","","Robos Misteriosos","","Fantasía [REVISAR]"
"Misterio en Dourpajon","Mariano Hispano","Jovenes Adultos (13-18)","Los gorriones","6.0","Los gorriones de Pamela Griffin han vuelto a Dourpajon, el pueblecito cercano a París donde viven en &quot;La Clochette&quot;, villa que se alza en lo alto de una colina muy cerca del pueblo.<br /> <br /> Léonard Tremblet, su mejor amigo, prepara a los niños de Dourpajon para que participen en &quot;El Gran Premio de París&quot;, una carrera de &quot;karts&quot; de la que ha de salir el Campeón Juvenil de Francia. ¡Ah!... Pero los &quot;karts&quot; de Léonard Tremblet encierran un secreto que, unido a otras misteriosas circunstancias, envuelven la prueba en un gran misterio.<br /> <br /> Cyrus, Charly y Khoa Thal, anteponiendo a toda sospecha su afecto y amistad por Léonard le ayudan a resolver el caso, tras vivir las más apasionantes aventuras.","goodreads:39508603","spa","","Misterio en Dourpajon","","Ficción general [REVISAR]"
"Un Viaje a Nueva York","Mariano Hispano","Jovenes Adultos (13-18)","Los gorriones","4.0","En un hermoso transatlántico, moderno, más veloz que cualquier otro, Cyrus, Charly y Khoa Thai (Los Gorriones), navegan hacia Nueva York, donde los espera su madre.<br /> <br /> Pamela Griffin teme siempre por ellos porque sabe lo mucho que les gusta la aventura y mezclarse en problemas ajenos -para ayudar-, porque los tres hermanos hacen siempre suyas las dificultades de los otros. Pero en esta ocasión está tranquila. ¿Qué puede ocurrir en mitad del Atlántico, ese inmenso y solitario desierto de agua?<br /> <br /> Por supuesto, pueden ocurrir muchas cosas. ¡Claro que sí!","goodreads:39508588","spa","","Un Viaje a Nueva York","","Ficción general [REVISAR]"
"El Vagabundo Misterioso","Mariano Hispano","Jovenes Adultos (13-18)","Los gorriones","8.0","El viejo Marlowe era un vagabundo; un viejecito solo y desamparado que vivía bajo los puentes y ganaba el sustento tocando el violín. Londres era el escenario en el que se movía el viejo Marlowe, y LOS GORRIONES de Pamela Griffin lo conocieron en Hyde Park. Cyrus, Charly y Khoa Thai decidieron ayudar a aquel hombre y, tras conseguir su amistad, lograron también que Pamela Griffin, su madre, aceptase llevarlo a La Clochette, donde el viejo trabajarla como jardinero, tendría un hogar y dejaría de ser el vagabundo solitario que había sido toda su vida.<br /> <br /> Pero, ¡ay!, el viejo Marlowe guardaba celosamente un secreto, que no llegó nunca a confiar a LOS GORRIONES, precisamente por lo mucho que llegó a quererlos.","goodreads:39508610","spa","","El Vagabundo Misterioso","","Ficción general [REVISAR]"
"Bosque Mitago","Robert Holdstock","Fantasy.Mythology, horror, Fantasía Moderna","Mythago Wood","1.0","Steven Huxley regresa tras la Segunda Guerra Mundial a Refugio del Roble, el hogar familiar junto al bosque Rhyope, para encontrar que su padre ha fallecido y que su hermano mayor Christian, que ha heredado las mismas obsesiones que su padre, se ha adentrado en las profundidades del bosque sin dejar rastro. Las anotaciones del diario del padre describen a unos seres, los «mitagos», que parecen ejercer una influencia terrible y maravillosa sobre los Huxley. Steven se adentra en el bosque en busca de su hermano e inicia así un periplo a la mismísima fuente de los mitos.
","isbn:9788496208285,goodreads:9734601","spa","","Bosque Mitago","","Ficción general [REVISAR]"
"Muertes en el laberinto","Robert Holdstock","horror","","1.0","Robert Holdstock rompe los esquemas del género de horror con un insuperable derroche de fantasía macabra. Los laberintos del Castillo Limbo se convierten en escenario de las espantosas alucinaciones de un niño. Pero ¿son realmente alucinaciones? Michael “capta” en los laberintos reliquias mágicas y chamánicas de tiempos antiguos: Un puñal vikingo utilizado para sacrificios humanos, cuya forma parodia la de un Cristo crucificado. El casco de un soldado romano, que contiene un fragmento de cabeza todavía fresco. Trozos de animales descuartizados. Y allí se conserva también el Santo Grial, convertido en aberrante receptáculo de una monstruosidad blasfema. El horror en estado puro.","","spa","","Muertes en el laberinto","","Misterio·Thriller·Terror [REVISAR]"
"Mythago Wood","Robert Holdstock","","Mythago Wood","1.0","Mythago Wood won the World Fantasy Award for best novel and is regarded as one of the finest fantasy novels of the twentieth century  
Deep within the wildwood lies a place of myth and mystery, from which few return, and none remain unchanged. 
Ryhope Wood may look like a three-mile-square fenced-in wood in rural Herefordshire on the outside, but inside, it is a primeval, intricate labyrinth of trees, impossibly huge, unforgettable . . . and stronger than time itself. 
Stephen Huxley has already lost his father to the mysteries of Ryhope Wood. On his return from the Second World War, he finds his brother, Christopher, is also in thrall to the mysterious wood, wherein lies a realm where mythic archetypes grow flesh and blood, where love and beauty haunt your dreams, and in promises of freedom lies the sanctuary of insanity . . . 
Winner of the World Fantasy Award for best novel, 1985. 
Winner of the BSFA Award for best novel, 1984.
","wd:Q1770433,goodreads:22363677,isbn:9780575088450","eng","","Mythago Wood","","Fantasía [REVISAR]"
"Tales of Adventurers (1952) SSC","Geoffrey Household","","","1.0","<p><B>Thirteen stories of daring and romance from a master storyteller</B><BR /> Devenor has not had a good meal in five years. He dreams of Bucharest and the years between the wars, when he grew rich on Romanian oil, and fat on Romanian cooking. Of all the delicacies he packed into his ever-expanding belly, none were finer than those found in Gradina. It was the most decadent restaurant of the old regime, but under communism it has been thrown open to the workers, who profane its hallowed dining room with a ten-cent lunch of soup and bread. And so this portly oil magnate plots a trip behind the Iron Curtain to smuggle out Gradina's cook and sate his hunger evermore.<BR /> <BR /> Devenor is just one of the adventurers who star in the stories of this remarkable volume. From the islands of the Mediterranean to the peaks of the Andes, Geoffrey Household's heroes laugh at danger&#8212;but never on an empty stomach.<BR />","isbn:9781504010481","eng","","Tales of Adventurers (1952) SSC","","Fantasía [REVISAR]"
"The Doctor's Child","Daniel Hurst","","","1.0","The doctor is dead. Now his daughter wants revenge…
‘I’ll always protect you.’ These are the words my mother whispered to me every time she kissed me goodnight. And whenever we ventured outside our windswept seaside village, she’d clutch my hand tightly and her face would be pinched and pale. I never understood why. But now I do.
Growing up, I’d heard the whispers and the rumours. My mother tried to keep the truth from me, but she failed. I understand exactly what happened eighteen years ago. I know I am the murdered doctor’s child.
Everything could have been so different if the doctor’s wife hadn’t ruined my mother’s life – and mine too. We could’ve been a proper family, living in a big house with a stunning sea view. Instead, I never got to know my dad and my mother is a shadow of the person she once was, always looking over her shoulder…
Glancing at my fair hair and bright blue eyes in the mirror, I realise I’m just like my father. And it’s up to me to right the wrongs of the past.
They say the doctor’s wife is clever and calculating. That she gets away with murder. But she hasn’t met me yet…
","mobi-asin:B0CP9X4BM3","eng","","The Doctor's Child","","Romance contemporáneo [REVISAR]"
"The Search","Damon Hunter","","","1.0","Safety is within reach for the small band of survivors trying to flee rot infested California. They are on a chopper with nothing but clear skies between them and getting out of the Quarantine Zone. The research Dr. Talbot left behind when the Southeastern Checkpoint was overrun by the infected, however, is too valuable to leave behind. The group splits up, with half taking the chopper to fly out of quarantine and the others going for information Talbot believes holds the key to a cure. Neither the path to safety or the path back to the Southeastern Checkpoint is an easy one and both halves of the group find themselves in a fight for survival they may not be able to win.
","mobi-asin:B07HL4C9VN","eng","","The Search","","Ciencia Ficción [REVISAR]"
"Serenity Divided: A Vigilante Justice Action Thriller (The Shelby Alexander Thriller Series Book 10)","Craig A. Hart","","","1.0","","mobi-asin:B0D3VLZ3BL","eng","","Serenity Divided: A Vigilante Justice Action Thriller (The Shelby Alexander Thriller Series Book 10)","",""
"Serenity Hunted: A Vigilante Justice Action Thriller (The Shelby Alexander Thriller Series Book 9)","Craig A. Hart","","","1.0","","mobi-asin:B0BN4DYMDB","eng","","Serenity Hunted: A Vigilante Justice Action Thriller (The Shelby Alexander Thriller Series Book 9)","",""
"Mystic Empire","Tracy & Laura Hickman","Fantasy, Science Fiction","","1.0","Thrice upon a time, their children would be armed  
With the power of newfound magic...  

Eighty years have passed since the Mystics founded the glorious nation of Calsandria on the ruins of a fabled lost empire, and now their new order is mired in politics and bloodlines. A woman like Theona Conlan, who lacks magic powers, has no place in Mystic society. But she vows to lead the desperate search for the long-lost Crown Prince-the last descendant of Galen Arvad...  

In another realm the faery Dwynwyn, Queen of the Dead, must face an emerging truth: Her world's slave creatures, such as centaurs and satyrs, are mastering the magic once solely available to faeries. And this reality will shatter the fragile peace between the faeries and their vengeful enemies...  

In the goblin world, the little scientist Lunid wants to get closer to the god of her dreams. So she builds a device that can let her reach across worlds and snatch him back to her like a prized pet. Her masters, however, have plans for her invention that she could not have foreseen...  

But unknown to them all, the gates between realities are about to burst open and allow nightmare armies to pour through-plunging Mystics, faeries, goblins, centaurs, and dragons into unimaginable, devastating conflict. Soon all these entities are caught in a war that can be won only with an undiscovered magic...  

One that will unite-or destroy-three worlds.  

","isbn:0446531073,mobi-asin:683f56e5-2b62-416a-949c-ebcc948978f7","eng","","Mystic Empire","","Fantasía [REVISAR]"
"May We Be Forgiven: A Novel","A. M. Homes","","","1.0","<b>Winner of the 2013 Women's Prize for Fiction&mdash;A darkly comic novel of twenty-first-century domestic life by a writer who is always &ldquo;compelling, devastating, and furiously good&rdquo; (Zadie Smith)</b><br> Harold Silver has spent a lifetime watching his younger brother, George, a taller, smarter, and more successful high-flying TV executive, acquire a covetable wife, two kids, and a beautiful home in the suburbs of New York City. But Harry, a historian and Nixon scholar, also knows George has a murderous temper, and when George loses control the result is an act of violence so shocking that both brothers are hurled into entirely new lives in which they both must seek absolution.<br> Harry finds himself suddenly playing parent to his brother&rsquo;s two adolescent children, tumbling down the rabbit hole of Internet sex, dealing with aging parents who move through time like travelers on a fantastic voyage. As Harry builds a twenty-first-century family created by choice...","isbn:9781101601143","eng","","May We Be Forgiven","","Ficción general [REVISAR]"
"Este libro te salvará la vida","A. M. Homes","","","1.0","Richard Novak es un hombre afortunado que ha ganado mucho dinero y vive en el comodo retiro de una mansion en California. Sus contactos con el mundo son la mujer que limpia su casa, la nutricionista, la masajista y la entrenadora personal. Pocas veces piensa en lo que ha dejado atras, hasta el dia en que va al hospital con un intenso dolor y aparece un misterioso agujero en el inestable suelo donde suelen construir los millonarios americanos. Dos fisuras por donde se colara la vida, violenta, desordenada, imprevisible.
","google:BD-QPQAACAAJ,isbn:9788433974457,goodreads:2631124","spa","","Este libro te salvará la vida","","Ficción general [REVISAR]"
"Cosas que debes saber","A. M. Homes","short stories","","1.0","A. M. Homes ha provocado la indignación de algunos críticos, y la encendida admiración de muchos otros. En Cosas que debes saber, la autora vuelve a su territorio favorito, el microcosmos de los barrios residenciales, el descubrimiento de lo siniestro en lo familiar. Así, nos encontramos en La lección china con un marido que utiliza un GPS para encontrar a su suegra. En Geórgica, una mujer que ha cancelado su boda espía los encuentros amorosos de los atléticos socorristas de las playas, y recoge los preservativos que han usado; El remedio muestra a una iracunda treintañera, resuelta a expulsar de casa de sus padres al budista que ellos han acogido, y que les proporciona una nueva felicidad. En Mantengan la calma, por favor, un hombre obsesionado por la idea de matarse tiene una esposa que considera sus intentos de suicidio como chistes de escaso gusto, y Los niños prodigio es la recreación de un anfetamínico mundo juvenil de sexo, humillación y revelaciones, donde se confunden fantasías y realidad.
","google:ex20PQAACAAJ,isbn:9788433970824,goodreads:2230610","spa","","Cosas que debes saber","","Ficción general [REVISAR]"
"Música para corazones incendiados","A. M. Homes","","","1.0","Paul y Elaine son el modelo de la normalidad: matrimonio de clase media, de poco más de cuarenta años, dos hijos, una hermosa casa en un confortable barrio residencial, y una espesa, opaca y muda angustia que les devora el alma. Han llegado a ese instante de la vida y del matrimonio en que el amor y el deseo se convierten en aburrimiento y odio. Y un día le prenden fuego a su casa en el curso de una improvisada barbacoa en el jardín, y huyen a refugiarse a un motel con sus hijos. Cuando vuelven, descubren que no han provocado el liberador incendio que iba a arrasar su vivienda e iluminar su existencia hasta los cimientos, sino un incómodo, incompleto desastre que los obliga a refugiarse en casa de amigos hasta que el seguro pague los daños. Pero la caja de los truenos ha sido abierto, y Paul y Elaine, descubrirán que ya no hay vuelta atrás...
","goodreads:3141996,google:HYAYAAAACAAJ,isbn:9788433969385","spa","","Música para corazones incendiados","","Romance histórico [REVISAR]"
"El fin de Alice","A. M. Homes","horror, Crimen & Misterio","","1.0","Chappy amaba a los niños, los amaba tanto -especialmente a Alice, una enigmática niña de doce años- y de maneras tan prohibidas, que desde hace veintitrés años está en la cárcel. Vive allí en un infierno de cuerpos maduros y homosexualidad, en una oscura jerarquía de dominación y sometimiento, hasta que un día comienza a recibir las cartas de una joven universitaria que ha vuelto a casa por vacaciones y planea seducir a un niño de doce años, fascinada ella también por la inmadurez, por la terrible y excitante inocencia de la fruta verde. ¿Y quién puede saber de esto más que Chappy? Al comienzo, el recluso y su corresponsal no muestran todas su cartas, en un juego de fingimientos y medias verdades. Pero poco a poco, entre mentiras, trampas y trampantojos, irá surgiendo la atroz verdad del prisionero, que se presenta como un doliente Humbert Humbert, desolada y triste víctima de sus deseos, y también la verdad de su joven corresponsal y cómplice, que ya mira con los ojos perversos de un adulto el territorio de la infancia, pero está ella misma perdida en la desolación del pasaje a la madurez, en la soledad de una tierra de nadie de la sexualidad y de la vida.
","google:ywPYPwAACAAJ,isbn:9788433972620,goodreads:13174600","spa","","El fin de Alice","","Ficción general [REVISAR]"
"La Casa del Viento","Titania Hardie","Ficción Histórica, Topic.People & Places.Europe.Italy","","1.0","San Francis, 2007. Madeline Moretti llora la pérdida de su prometido. Ande su desconsuelo, su abuela le regala un viaje a la Toscana, de donde procede su familia. Allí Maddie descubre una casa en ruinas. Destruida hace siglos durante una legendaria tormenta en la víspera de Santa Inés, desde entonces se la conoce como la Casa al Viento, la Casa del Viento. 
Toscana, 1347. Mia vive en silencio desde la muerte de su madre. Reside con su tía en una villa que acoge a peregrinos de paso. Una noche de tormenta, una pareja busca refugio en ella. Mia queda embelesada ante la belleza y sencillez de la joven novia, pero no entiende por qué mantienen sus nombres en secreto. ¿De dónde proceden? ¿Y cuál es su historia? 
Aunque varios sigles las separen, tanto Maddie como Mia intentan encontrar su propio camino. Lo descubrirán gracias a la joven que salió indemne de las ruinas de la Casa del Viento.
","goodreads:12961809,isbn:9788483652374","spa","","La Casa del Viento","","Ficción general [REVISAR]"
"The Rough English Equivalent (The Jack Mason Saga Book 1)","Stan Hayes","","","1.0","","mobi-asin:B0083Q18AE","eng","","The Rough English Equivalent (The Jack Mason Saga Book 1)","",""
"El verano sin hombres","Siri Hustvedt","","","1.0","Cuando Boris Izcovich dijo la palabra «pausa», Mia Fredricksen, de 55 años, que llevaba casada treinta con Boris, enloqueció. Porque lo que deseaba su marido era una pausa en su matrimonio, después de treinta años sin adulterios de ninguna de las partes -aunque parezca increíble-, una hija encantadora que iniciaba su carrera de actriz y una relación entre ellos que había ido evolucionando desde el ardor guerrero de los primeros tiempos a la simbiosis casi telepática de los últimos. Hay que decir que la «pausa» de Boris es francesa, compañera de trabajo en el laboratorio -ambos son neurocientíficos-, joven y con buenas tetas. Pero la locura de Mia no fue más que una breve psicosis reactiva y a la semana y media la dejaron marchar de la clínica donde había sido internada.<br /> <br /> Estos son los prolegómenos del verano en que Mia regresa a Bonden, la ciudad de su infancia, donde aún vive su madre en una residencia para ancianas activas e independientes. Será un verano rabioso en lo personal y reflexivo en lo intelectual, porque Mia es poeta, con varios libros publicados. Alquila una casa, se relaciona con sus vecinos, una joven recién casada con dos niños y un marido que despierta en Mia sospechas de maltrato; y visita cada día a su madre, de más de ochenta años, y a su grupo de amigas, «los Cisnes», que son cinco -la mayor ya ha pasado los cien años y morirá en el curso del verano- y se mantienen activas, vivas e imbatibles. Recupera los recuerdos de su infancia y descubre algunos secretos de la femineidad de otras generaciones, como los tapices que borda en secreto una de los Cisnes, que esconden en bolsillos y pliegues ocultos escenas eróticas, blasfemas o acres burlas al mundo. Mia también dirige un taller de poesía con un grupo de estudiantes en el instituto de Bonden.<br /> <br /> Con la producción literaria de las adolescentes, la eclosión de su femineidad y sus crueles conspiraciones, las historias y las vidas de los viejos Cisnes y los incidentes del joven matrimonio, más su propia vida, Mia urde esta veloz y brillante comedia feminista de inesperado final...&gt;Gð3G5GPlt;GP1G0?Glt;GÐ/Gð=G°lt;G0:Gðgt;GÛP7Gp(GÐlt;GÐ@Gp@G@GPCG?GP2G°9G?G8G°2GÐ-GAG:G3GBGDGXÝp.GP4G0BGð;GCGBGÐFG°:GÐEGpEG°FGðlt;Gp?G°gt;GÐBGÐ5G°CGpGpBGPFG0FG°=G0EGP6GFG°-GPGGð1Gð9G;Gp5GÐGGðDGP+GP:GPAGEG9GÐHGð8GPEGpFG0AGpIGPIG°IGP5G°JGP?GðFGð:G0JG0;G°GGp=G°GGG9GðAGpGGÐgt;GFGJG0gt;Gp7GPDGÐDGÐamp;Gp!GLGMG°@Gð5GDGð?G0HGÐNG°BGNGðEGð@GHGÐIGP=GÐKG0OGP;GpLGpgt;GðOGð-G0LGpAGðNGP9GpNGMGOGp4GGGNG0quot;G°NGpCG@G°PGpDGPLGPBGAGðHG0IGÐAGpHGPKG°KG0QG0lt;G°MG°QG=Gð7G0RG0GGÐ:G0DGKGðamp;GRGTGpJG°UGTG0TGPgt;GpTGÐJG09GSGÐQGðCGðPG0UGÐUGÐRGðQG0CGÐLG°EGpQGQG0MG6GðRG0WG°RGÐOG°XGPHGPVGPWGpUGÐ?GðWGPTGPMGYGðGGpSGXGÐ+GHG0YGXGðIG°?GðKGðVG0VGpPGCGPQGPUGðBG0G0NGpVG0PGgt;GP\GP@GÐTGð2G\G°WG[GPXGÐ[G0KGP[G0[G°[GpWGðXG=GQG0@G°HGPYG_GPSGÐCGUG0SGðMGIGðUGp]G0\GpYGP^GpZG°^GPNGPOGOGð`G0^GaGPRGð]G°_GðJG°\Gp`GpaG0ZG°,Gp^GÐ\GÐPGÐMGðLGÐaGpRGWG°VG°DG^GJG]GÐ=G]GWGP]Gp_Gð\GKGYGP_GðdGPaGð^GpbGðTG°AGpKGeG0bGðbG0aGUG[GÐbG°OGRGgGbGPgGPJGPdGcGpOGðeGpXGÐ]GPhG°`G0gG°]G_G0eGÐdG°SGcGpMGÐYGaGZG0jG°ZGPfG0`GfG`GpiG°bGdGZGp\GIGhGPGPjGhG0_G°eGpcGPlG°aG°cG0cGÐfGÐcGlGðlGjGiGnG`GðaGPGiGplG°hGÐmG°iGPZGÐ_GÐ^GP`GpgG0lG0dGðmGÐgGppGPoG°nGÐeGÐ`GðcGðkGðnG0nGPbGÐkGpfG0pGoG^G°TG0XGPkGoGqGkGÐsGmGðsGðrGÐhGpdGPrG0kG°lG0hGrGpmGeGÐnG°oGprG°pGðjGPPGkGðtG0rGpoGtG0qGðgG0fG0oGÐjGphG0iGqGðZGvGrGðiGÐvG0tGÐiGðoGÐVGPeGPcGbGPsGEG°YGsGð[GÐwGðYGwGzGÐuGptGPvG0yGpjG°kGÐxG°qGuGdGnG°mGpuGgG0sG°jGð_GÐXGfGðyG|GLG{GðwG°|GPzGðpGÐ6GpzG0uGPpG0zGpkGxG°yGðhG{GSGðSGðqGðvGÐ{Gp[G0{GpsGVGjG°GpvGPyGÐoGPtGtGpeGp~GPxG~Gð{G°€G0}GpG}Gð€GpwGPmG°zGð|GPGp€","","spa","","El verano sin hombres","","Ficción general [REVISAR]"
"Elegía para un americano","Siri Hustvedt","Crimen & Misterio, Topic.People & Places.America","","1.0","Pocos días después del funeral del padre, Erik Davidsen y su hermana Inga encuentran entre los papeles del muerto una breve nota del año 1937 que alude a una tragedia, quizá un asesinato. Erik es psicoanalista, un hombre que escucha relatos. Inga es escritora, y en su último libro habla de los recuerdos que son vueltos a imaginar en palabras. A partir de entonces, los hermanos intentan reconstruir la historia de su familia de emigrantes noruegos.  
  
Pero Inga y Erik también deben enfrentarse a sus propios secretos y relatos. Erik se ha divorciado hace poco tiempo, y la soledad lo ha convertido en alguien que jamás imaginó ser. Inga, que estuvo casada con un escritor de culto, muerto cinco años antes, tiene que proteger a su hija, y protegerse a sí misma, del acoso de un vengativo periodista. O, como dice ella, tiene que reescribir su propia historia de principio a fin...
","goodreads:9661357,isbn:9788433973658","spa","","Elegía para un americano","","Ficción general [REVISAR]"
"The Summer Without Men","Siri Hustvedt","","","1.0","","","eng","","The Summer Without Men","",""
"The Summer Without Men","Siri Hustvedt","","","1.0","<p><p><I>""And who among us would deny Jane Austen her happy endings or insist that Cary Grant and Irene Dunne should get back together at the end of</I> The Awful Truth<I>? There are tragedies and there are comedies, aren't there? And they are often more the same than different, rather like men and women, if you ask me. A comedy depends on stopping the story at exactly the right moment.""</I><p>Mia Fredrickson, the wry, vituperative, tragic comic, poet narrator of <I>The Summer Without Men</I>,has been forced to reexamine her own life. One day, out of the blue, after thirty years of marriage, Mia's husband, a renowned neuroscientist, asks her for a ""pause."" This abrupt request sends her reeling and lands her in a psychiatric ward. The June following Mia's release from the hospital, she returns to the prairie town of her childhood, where her mother lives in an old people's home. Alone in a rented house, she rages and fumes and bemoans her sorry fate. Slowly, however, she is drawn...","","eng","","The Summer Without Men","","Ficción general [REVISAR]"
