title,authors,tags,series,series_index,comments,languages,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Tarot's Ninth Harbinger","A. F. Kay","LitRPG Adventure, _Biblioteca.Fantasia.Contemporanea, Find Magic, Find Witch, Fantasy, Find Demon AND Angel","Divine Apostasy","9.0","In the wake of a cosmic upheaval, Ruwen emerges as an angelic being, his newfound Divinity granting him not just wings but a destiny intertwined with the fate of the universe. ""The Ninth Harbinger"" unfolds as a tale of gods and powers beyond comprehension, set against a backdrop where the fabric of reality itself is at stake. 
After surviving a vicious onslaught by six deities, Ruwen inadvertently unleashes the System, a force constrained since the dawn of the universe. Now unshackled, the System alters the cosmic order, creating rifts leading to fragments of destroyed universes. These rifts, brimming with strange artifacts and untold powers, present a tantalizing yet perilous opportunity for those brave enough to explore them. 
Amidst this chaos, the Harbinger quest emerges—a role laden with immense power, destined for only one. This is unwelcome news for Ruwen, who already carries the burden of restoring Spirit to the universe. The rifts provide a path for other deities to rapidly augment their powers, threatening the delicate equilibrium and placing Ruwen’s plans in jeopardy. 
Torn between universe-threatening tasks and personal desires, Ruwen grapples with the consequences of his choices. One friend lies unconscious, critically injured by Ruwen’s actions, while another mysteriously disappears from the battlefield, clutching the sword that pierced her body. 
Among these critical priorities, Ruwen must lead. To survive seemingly unending conflict, the country requires sweeping changes, including guilds, multi-classing, and a merit system. Ambitious town-building projects are set to reshape the country’s cities into defendable fortresses. 
When the inevitable attack arrives, Ruwen's decision to spring an obvious trap in order to save a friend leads to catastrophic consequences, threatening his friends, his allies, and potentially hurtling the universe toward ultimate destruction. 
""The Ninth Harbinger"" follows Ruwen, a Divine Apostasy, in his relentless pursuit of balance in a universe teetering on the brink of annihilation.
","eng","","Subgenero · LitRPG/GameLit, Subgenero · Fantasia progresiva/Cultivo","","Fantasía","90","Progression fantasy con sistema, ángeles y rifts cósmicos.","",""
"Now You See Me","Marilyn Kaye","Fiction, Supernatural, Juvenile Fiction, Fantasy & Magic, Schools, _Biblioteca.Fantasia.Contemporanea","Gifted","5.0","The Gifted class are getting suspicious that there's a spy in their midst. But who? The chief suspect is queen-of-mean Amanda, who's started acting out of character and volunteering in the school office. Tracey and Jenna join forces - and gifts - to try to find out more. But when mind-reader Jenna is framed for a crime she didn't commit and sent to an institution, Tracey is on her own. Using her ability to become invisible, Tracey searches for answers and finds out more than she bargained for . . . 
","eng","Fiction, supernatural, Juvenile Fiction, Fantasy & Magic, Schools","Subgenero · Young adult/Juvenil, Subgenero · Superpoderes","","Misterio·Thriller·Terror","85","School mystery with gifted kids (invisibility, mind-reading), crime focus, no central romance.","",""
"Speak No Evil","Marilyn Kaye","Juvenile Fiction, Fantasy & Magic, School & Education, _Biblioteca.Fantasia.Contemporanea","Gifted","6.0","### Product Description
**About the Series** Meadowbrook Middle School is an ordinary school with ordinary students-except for the Nine. These students look like the others, but they're not. You could call it a skill, a talent or a disadvantage, but each of these students is unique - they're gifted.****
* * *
Everyone in the Gifted class has a secret, but Carter Street is the most mysterious student of all. Nobody knows anything about him - not even his real name. For some reason, he's been put in the Gifted class, maybe because no one knows what else to do with him. He never speaks, but the other students suspect that-like them-there's something going on behind Carter's blank stare. What they don't know is that it's something dangerous…
### About the Author
Marilyn Kaye is a bestselling author and a master of series fiction for children. Her work includes the series *Replica* , *Camp Sunnyside Friends* , *After School Club* , *Out of This World* and *Last on Earth*. She lives in Paris. 
","eng","Juvenile Fiction, Fantasy & Magic, School & Education","Subgenero · Fantasia urbana, Subgenero · Young adult/Juvenil, Tono · Oscuro","","Paranormal","80","Alumnos con dones en un colegio normal; el misterio de Carter Street es central. Sin romance.","Gifted","1.0"
"Cove: Shadows Over Cove","D. B. King","_Biblioteca.Fantasia.Contemporanea","","1.0","In the small, seemingly tranquil town of Cove, deep in the heart of Tennessee, Tyler Cook's world is on the brink of unraveling. Haunted by the tragic death of his mother and the recent prison escape of his father, Keith, Tyler is thrust into a reality far beyond the ordinary. When he discovers that he possesses strange, uncontrollable powers that only bring chaos and destruction, his life spirals into a dark vortex of uncertainty and danger.
As Tyler struggles to grasp the full extent of his abilities, he finds himself entangled in a sinister plot that transcends dimensions. An ominous rift in the sky looms over Cove, a silent herald of the unknown and a gateway to a realm of unfathomable malice. With each attempt to harness his powers, Tyler inadvertently draws closer to a malevolent entity lurking in the shadows, a creature that feeds on pain and revels in the turmoil of the human soul.
Rosie, a young woman with a strong will and a compassionate heart, gets unwittingly pulled into Tyler's turbulent journey. As their fates intertwine, Rosie must confront her own fears and doubts, questioning the very nature of the reality they face. Together, they navigate a path fraught with peril, mistrust, and betrayal, seeking answers and salvation in a world that defies understanding.
In ""Cove,"" delve into a gripping tale of supernatural suspense, where the lines between good and evil blur, and the struggle for redemption and survival challenges the very essence of human spirit. Will Tyler overcome the darkness that consumes him, or will the shadows of the past devour all hope for the future?
","eng","Find Magic, Find Alien","Ambientacion · Small town, Tono · Oscuro, Subgenero · Terror cosmico/Lovecraft","","Fantasía","70","Fantasía oscura con poderes sobrenaturales y entidad maligna en un pequeño pueblo.","",""
"The Hidden Academy","D. B. King & Shawn Whitney","_Biblioteca.Fantasia.Contemporanea, Find Alien, Find Elf, Litrpg, Find Witch, Find Magic, Find wizard, Fantasy","Dragon Seeker","1.0","In the Malabar Empire, young people can be bonded to Legendary Beasts and gain their powers. They are called Seekers. There are Seekers of tigers, lions, monkeys – all the creatures under the sun.  But a Seeker of the Dragon? Such hasn’t been seen for centuries.  Until Jaden of Lessertown.  Jaden dreamt of his Legendary Beast on the morning his life changed forever. Enlisted to become an Imperial Seeker and serve the cruel Emperor, he is thrown into an initiation ceremony that is brutal beyond comprehension. But it doesn’t last for long, because there are others who wish to train Seekers, rebels from within the mysterious Hidden City.  It is in this Hidden City where Jaden will learn how to control his magic and find a cause worth fighting for. But being the first Dragon Seeker in centuries brings attention, and not all of it is good…","eng","","Subgenero · Young adult/Juvenil, Subgenero · Fantasia epica","","Fantasía","95","Epic fantasy with Legendary Beasts and a hidden academy; no central romance.","The Hidden Academy","1.0"
"Mage's Path 2","D. B. King","_Biblioteca.Fantasia.Contemporanea, Find Elf, Litrpg, Find Magic, Find wizard","Mage's Path","2.0","**Jack always wanted to wield magic. His dreams were fulfilled when he absorbed a dungeon core and became a living, walking dungeon.** After a battle with the core of the warlock's tower, Jack and Melinda turn their attention to growing stronger. With the warlock Lachlan Woe to teach them, and the support of Ivan the goblin butler, it seems their path could only go upward.  When rumors of hunters reach their ears, their lives take a turn. These hunters could prove the breaking of Jack and his friends. Thankfully, Jack is a walking dungeon, and there are other dungeons in the outside world with whom he shares a bond.  If these dungeons could be awakened...  Join Jack and the occupants of the warlock's tower for a second adventure that promises to rival their first.","eng","","Subgenero · LitRPG/GameLit","","Fantasía","95","Dungeon core, magic, LitRPG progression; no central romance.","Mage's Path","1.0"
"Outlaw Magic","D. B. King","Find Magic, Find Witch, Find Demon AND Angel, GameLit, Find wizard, Find Elf, _Biblioteca.Fantasia.Contemporanea","The Last Magus","5.0","Alec Diamondspear and his friends have arrived at the Haunted Isle. He promised to return Alison to her family, and that’s what he’s setting out to do.  But the Haunted Isle earned its name for a reason. What lurks beneath its surface could prove the undoing of Alec and leave his quest against Chaos forever unfulfilled.","eng","","Ambientacion · Casa encantada/Fantasmas","","Fantasía","85","Fantasy quest on a haunted island, no romance.","",""
"Spellweaver Codex 1","D. B. King","Litrpg, _Biblioteca.Fantasia.Contemporanea, Find wizard, Find Magic, Find Elf, Fantasy","Elder Mage Chronicles","1.0","**The Spellweaver. A legendary sorcerer who crafted magic with their words. These spells were written down and given to others who would become mages. Over time, the Spellweaver was no longer reincarnated through the ages.  
Without the magic-creating words of the Spellweaver, magic is now a finite resource. Soon, magic will be lost to the sands of time. Unless a new Spellweaver can be found.**
Calwyn Weft lives in the village of Pebbert and works as an apothecary’s apprentice. It’s the one job he knows how to do well. But when the village is visited by a strange, red-robed figure, Cal learns that there’s more to him than brewing potions. 
In little more than a day, Cal discovers that he’s not only a codex-carrying mage, but he’s the reincarnation of the Spellweaver, a being who can craft spells. 
With a new purpose, he sets off into Yaetis to collect spells and magic, all while learning what it means to be the reincarnated Spellweaver. 
Except there are forces who would seek to use Cal for their dark purposes, ones who would twist his incredible potential to their own ends.
","eng","","Subgenero · Fantasia progresiva/Cultivo, Subgenero · LitRPG/GameLit","","Fantasía","90","Reencarnación de un tejedor de hechizos en un mundo de magia finita. Sin romance central.","Spellweaver Codex","1.0"
"Ultimate Magic","D. B. King","Find Alien, Juvenile Fiction, Find wizard, _Biblioteca.Fantasia.Contemporanea, Find Magic, General, Find Elf, Fantasy, Find Demon AND Angel","","1.0","After locating the Inscribers on the Haunted Isle, Alec Diamondspear has found not only his long-lost mother, but a force that might be capable of taking the fight to Chaos. With events moving toward a final battle, there are more mysteries surrounding Alec and his origins that must be revealed. All of them will strike at the heart of who Alec is, and who he wishes to be. Old foes and new friends come together in the final instalment of The Last Magus.
","eng","","Subgenero · Fantasia epica","","Fantasía","95","Epic fantasy finale, no central romance.","The Last Magus","1.0"
"From Shadow to Flame","Ryan Kirk","Fantasy, _Biblioteca.Fantasia.Contemporanea","The Legend of Adani","2.0","**Darkness fights hardest against the lights that burn brightest**.  Elian’s victory over the invading Debru came with a high cost, but for the first time in generations, hope beats in the chests of the warriors of the wandering clans. Before the dust from the battle can settle, though, the Debru reveal their true, terrifying power for the first time. Once again, the clans must flee while they desperately search for the strength to resist their destruction.  Closer to home, Samora studies the mysteries her own victory against the Debru has uncovered. Their world is not what she thought it was, and humanity’s new allies keep secrets that may decide the fate of both clan and village. The deeper she digs toward the truth, the more dangers she uncovers, and some secrets are best left buried in the past.  As the siblings seek strength and truth, the Debru begin their final push to exterminate humanity. Surrounded by enemies on all sides and discord within the clans, Elian and Samora fight for a future that is anything but certain.","eng","","Subgenero · Fantasia epica","","Fantasía","90","Epic fantasy with war and siblings.","",""
"Rise of the Resurrected God","Ryan Kirk","Find Magic, _Biblioteca.Fantasia.Contemporanea","Saga of the Broken Gods","3.0","Across the frontiers of the Six States, towns and settlements fall as the wild advances. Dragons take flight over cities where they are considered myths. Soldiers and citizens perish as the councils in the east bar their gates and hide behind their thick walls.  Hakon and the rest of the Band dive deeper into the mysteries of their world, forging a path deeper into the unknown lands. After all their battles, Hakon fears they lack the strength and the knowledge to finish this fight. But they press on, facing dangers both familiar and new.  Finally home in Mioska, Zachary takes his rightful place on the council with resounding authority. He's the hero of the city, and he alone sees clearly the dangers ahead. He believes humanity still has a fighting chance if he can band them together.  But old enmities run deep, and there's no time or space for mistakes. Ava and the dragons under her command grow closer by the day. Unless Zachary and the Band can find a way to stop her, this long winter will be humanity's last.","eng","","Subgenero · Fantasia epica","","Fantasía","95","Dragones y reinos; sin romance central.","",""
"Meridian","Amber Kizer","Fantasy.Paranormal.Angels, fantasía, sobrenatural, Jovenes Adultos (13-18), Romántica, _Biblioteca.Fantasia.Contemporanea","Fenestra","1.0","Vida. Muerte. Y lo que hay en medio.
Me llamo Meridian Sozu. Soy una Fenestra. Siempre he compartido mi mundo con los muertos y moribundos. Pero no entendí de verdad lo que eso significaba hasta que cumplí los dieciséis y vi mi propia mortalidad...
Meridian, una chica de dieciséis años, siempre ha estado rodeada de muerte.
Cuando era pequeña, insectos, ratones y salamandras se acurrucaban entre sus sábanas para morir. A medida que se fue haciendo mayor, los animales fueron haciéndose más grandes, y enseguida empezaron a buscarla en el colegio para morir en su presencia. Meridian se convirtió en una marginada, etiquetada por sus compañeros como cosechadora, cava tumbas y bruja.
Cada muerte que presencia debilita su cuerpo, y la soledad debilita su espíritu.
En su decimosexto cumpleaños, es testigo de un accidente de coche mortal.
Aunque ella sale ilesa, el cuerpo de Meridian explota con el dolor de las víctimas.
Antes de que pueda recuperarse totalmente, Meridian descubre que es un peligro para su familia y se va a casa de su tía abuela en Revelation, Colorado. Es allí donde descubre el secreto que su madre le ha estado ocultando toda su vida: es una Fenestra, el enlace mitad ángel y mitad humano entre los vivos y los muertos. Es crucial que aprenda cómo hacer que las almas humanas lleguen al Más Allá para preservar el equilibrio entre el bien y el mal sobre la tierra. Pero Meridian y su protector jurado y amor, Tens,se enfrentan a un peligro mayor por parte de los Aternoci, una banda de fuerzas oscuras que capturan almas vulnerables al borde de la muerte y
causan el caos…
","spa","Young Adult, Fantasy.Paranormal.Angels, Romance.Paranormal Romance","Paranormal · Angeles y demonios, Subgenero · Young adult/Juvenil, Tono · Angst/Drama emocional","","Paranormal","95","YA paranormal romance with half-angel protagonist in our world; romance is central.","Meridian","1.0"
"Midlife & Magically Marked","Leona Knight","_Biblioteca.Fantasia.Contemporanea, vampire, Find Vampire, Find Witch, Find Fae, Find Magic, Paranormal, Fantasy","The Seventh Path","1.0","Life begins at 40 - but so do bad joints, wrinkles, and gray hairs.  They say that by the age of forty you should have gained the skills and experience to have a better life.  But the only thing I’ve gained is a job promotion to permanent desk jockey until retirement. I thought I escaped my mediocre destiny when I met my husband…until he died on our honeymoon and a series of unfortunate events left me with a strange mark on my body and my husband’s corpse stolen right out of the funeral home!  When I discover a mysterious invitation to a place called the Vale Estates at my door from a long-lost grandmother I had never met.  I was ready to toss it away as a scam until I read the Your husband’s death was not an accident.  Desperate for answers, I pack up and go.  But to discover the truth, I’m forced to live in a bizarre estate full of restless ghosts and a creepy goat-legged caretaker while enduring a trial of magic with death as a punishment for failure.  But I’m not a mage! Or at least, I thought.  I guess it’s not too late to learn something new.","eng","","Subgenero · Fantasia urbana, Paranormal · Brujas/Magos, Ambientacion · Casa encantada/Fantasmas, Tono · Cozy/Ligero","","Fantasía","90","Urban fantasy with magic, ghosts, and mystery; romance subplot not central.","",""
"Rise of a Wizard Queen","Jeffrey L. Kohanek","Fantasy, Epic Fantasy, Magic, Find Magic, Find wizard, Find Elf, _Biblioteca.Fantasia.Contemporanea","Fate of Wizardoms","5.0","A woman claims a crystal throne, granting her the power of a god - an act long forbidden. With her rise, the world trembles.   
As thrones of power fall vacant, one insatiable wizard seeks to increase his might. He never suspected a wizardess might foil his scheme.   
A queen rises from the south and forms an unprecedented alliance - an army from multiple wizardoms, backed by the magic of a wizard lord. This dominant force sweeps across the land, consuming all in its wake.   
A squad of misfits, thrust into the roles of reluctant heroes, seek to alter fate and save their world from the Dark Lord. Even they are blind to the elaborate schemes of gods.   
Rise of a Wizard Queen continues the riveting Fate of Wizardoms fantasy epic, perfect for fans of Tolkien, Jordan, and Sanderson.
","eng","","Subgenero · Fantasia epica","","Fantasía","95","Alta fantasía con magos y profecías; sin romance central.","Fate of Wizardoms","1.0"
"Abyssal Rift","KrazeKode","LitRPG Adventure, _Biblioteca.Fantasia.Contemporanea, Find Alien, Magic, vampire, Litrpg, Find Magic, Find Demon AND Angel, Fantasy","Rise of the Devourer","2.0","The Abyssal Rift threatens to swallow Heartillia, but within it lie unseen treasures...  Having escaped the cult and become an adventurer Noah had found and killed the traitorous team that had been responsible for betraying Aurelia, and at the heart of it, discovered a much grander and sinister plan.  An Abyssal Rift is about to open in Heartillia and Noah is invited to the city by its Lord on a special quest. Having reached level 50 at a rapid rate, he will need to train his body to keep up with his soul's progress. But the effort will be worth the price when Noah learns what awaits him at the end.  A shard of **[???]**.","eng","","Subgenero · LitRPG/GameLit","","Fantasía","90","Mundo secundario con progresión de nivel y magia, sin romance central","",""
"Dragon Warrior","KrazeKode","LitRPG Adventure, _Biblioteca.Fantasia.Contemporanea, Magic, Medieval, Smut, Find Elf, Litrpg, Find Witch, Find Magic, Fantasy","Rise of the Devourer","3.0","A trial awaits in the lost kingdom of Dragons.  Having prevented an Abyssal Rift from forming in Heartillia, Noah and his party are now headed towards Drakonias, the lost kingdom of dragons, with word of another Shard piece hidden inside an ancient vault. A trial awaits them here, with warriors from all over Erandir coming to compete.  The reward? The title of [Dragon Warrior] and access to the ancient vaults of the kingdom filled with powerful treasures. But to compete, one must be at C rank at the very least.  Noah and his companions have six months. To work hard and try to get to C rank in time, to be able to compete in the tournament.  On their path, they'll use every opportunity, and every tool they can get their hands on. Alongside the help of some brand new friends.  Book 3 in an action-packed, crunchy, isekai LitRPG series from KrazeKode, author of The First Law of Cultivation. Loaded with stats, skills, combat, and power progression, it's perfect for fans of Iron Prince, Road to Mastery, and He Who Fights with Monsters!","eng","","Subgenero · LitRPG/GameLit, Paranormal · Dragones","","Fantasía","95","Isekai LitRPG con torneo y dragones en un mundo de fantasía.","Dragon Warrior","1.0"
"Grog","R. W. Krpoun","_Biblioteca.Fantasia.Contemporanea, Fantasy","The Ebon Blades","1.0","Grog is a brute (half Human, half Ukar) slave raised from birth to fight in the pits for the entertainment of the crowds. He is content with his role in the city, proud of his barracks, and in awe of his owner, the sour Master Horne. Life, by Grog’s reckoning, is good.Then an enigmatic churchwoman enters his life, and Grog finds himself swept from the city which has been his entire world, to travel and learn amid as strange a group as he has ever seen. He knows nothing of the group’s mission, just that his skills are necessary and the quest is ‘a good thing’. But slowly, on this strange journey of both distance and spirit, Grog learns of the goal his new employer pursues, and its role in a troubled world. More importantly, he learns the value, and price, of freedom, and neither aspect is anything like what he imagined.A fast-paced fantasy novel by the author of the popular Dream series (and eighteen other novels), Grog takes the reader on a journey through an embattled Empire and a world in which things are seldom as simple as one expects.","eng","","","","Fantasía","100","Fantasía épica con un bruto esclavo en una misión; sin romance central.","Grog","1.0"
"Grog III","Rw Krpoun","Fantasy, _Biblioteca.Fantasia.Contemporanea","The Ebon Blades","3.0","Provine Sael and her weary band have put the great northern plains behind them, and are heading south into the Empire, winter quarters beckoning to them after a long, hard summer. But crossing the raid-torn northern frontier holds new problems and challenges as the little group re-enters an empire burdened by war and war's demands. The Sagrit have not forgotten the Dellian, and Grog must face new threats to his mistress, along with new issues and ideas which must be pondered. It is not easy being a brute in a improper world, but Grog and Burk struggle onward, fortified by Master Horne's teachings and their unflinching sense of duty. .
","eng","","","","Fantasía","100","Continuación de la serie Grog; fantasía épica sin romance central.","Grog","1.0"
"Grog V","Rw Krpoun","_Biblioteca.Fantasia.Contemporanea","The Ebon Blades","5.0","With most loose ends tidied up, Provine Sael leads her little band into direct service to the Empire. The Third North War is in its second campaign season, and both sides are determined to find victory; Grog and Burk are equally determined to take part in a major battle. Service to the Imperial forces is not as good as a large battle, but it promises more than a little violence and hard living for the small, disparate group. On a side note, the question of Rose possibly being the Seed of Destiny has not been forgotten..  Grog and Burk must face continuing change in their lives as they enter their second year of freedom, and continue to shoulder the responsibility of upholding the good name of their barracks, and meeting Master Horne's expectations. Violence, leadership, the proper size of fish, and poor utilization of water are just some of the challenges they must overcome.","eng","","","","Fantasía","100","Tercera entrega de Grog; fantasía de guerra sin romance central.","Grog","1.0"
"Grog VI","R. W. Krpoun","_Biblioteca.Fantasia.Contemporanea","The Ebon Blades","6.0","Grog VI picks up just hours after the end of Grog V.  Withdrawing from the Battle of the Ash, Provine Sael and her group are given yet another demanding task. Besides the usual travel, hardship and risk, the small company will have to follow a faint trail that has long gone cold, and dreg up a problem from their past. Meanwhile, Grog faces the challenges of forests, free time, and the dangers of unauthorized singing.","eng","","","","Fantasía","100","Cuarta entrega de Grog; fantasía de aventuras sin romance central.","Grog","1.0"
"Babel","R. F. Kuang","Fantasy, Historical, Find Cock, Find Magic, Find Demon AND Angel, Find Alien, _Biblioteca.Fantasia.Contemporanea","","1.0","**Instant #1** New York Times **Bestseller from the author of** The Poppy War  
**“Absolutely phenomenal. One of the most brilliant, razor-sharp books I've had the pleasure of reading that isn't just an alternative fantastical history, but an interrogative one; one that grabs colonial history and the Industrial Revolution, turns it over, and shakes it out.” -- Shannon Chakraborty, bestselling author of** The City of Brass  
**From award-winning author R. F. Kuang comes** Babel **, a thematic response to** The Secret History **and a tonal retort to** Jonathan Strange & Mr. Norrell **that grapples with student revolutions, colonial resistance, and the use of language and translation as the dominating tool of the British empire.**  
*Traduttore, traditore* : An act of translation is always an act of betrayal.  
1828\\. Robin Swift, orphaned by cholera in Canton, is brought to London by the mysterious Professor Lovell. There, he trains for years in Latin, Ancient Greek, and Chinese, all in preparation for the day he’ll enroll in Oxford University’s prestigious Royal Institute of Translation—also known as Babel.  
Babel is the world's center for translation and, more importantly, magic. Silver working—the art of manifesting the meaning lost in translation using enchanted silver bars—has made the British unparalleled in power, as its knowledge serves the Empire’s quest for colonization.  
For Robin, Oxford is a utopia dedicated to the pursuit of knowledge. But knowledge obeys power, and as a Chinese boy raised in Britain, Robin realizes serving Babel means betraying his motherland. As his studies progress, Robin finds himself caught between Babel and the shadowy Hermes Society, an organization dedicated to stopping imperial expansion. When Britain pursues an unjust war with China over silver and opium, Robin must decide…  
*Can powerful institutions be changed from within, or does revolution always require violence?*
","eng","Fantasy, Historical, Sexual Content","Ambientacion · Academia magica/Dark academia, Tono · Oscuro","","Fantasía","95","Historical fantasy with magic of translation and colonial resistance.","",""
"The Burning God","R. F. Kuang","Find Magic, Find Alien, _Biblioteca.Fantasia.Contemporanea","","1.0","<p><strong>The exciting end to The Poppy War trilogy, R. F. Kuang's acclaimed, award-winning epic fantasy that combines the history of twentieth-century China with a gripping world of gods and monsters, to devastating, enthralling effect.</strong><br/>After saving her nation of Nikan from foreign invaders and battling the evil Empress Su Daji in a brutal civil war, Fang Runin was betrayed by allies and left for dead. </p><p>Despite her losses, Rin hasn't given up on those for whom she has sacrificed so much&#8212;the people of the southern provinces and especially Tikany, the village that is her home. Returning to her roots, Rin meets difficult challenges&#8212;and unexpected opportunities. While her new allies in the Southern Coalition leadership are sly and untrustworthy, Rin quickly realizes that the real power in Nikan lies with the millions of common people who thirst for vengeance and revere her as a goddess of salvation. </p><p>Backed by the masses and her Southern Army,...","eng","","Subgenero · Fantasia epica","","Fantasía","100","Historical military fantasy, epic, no central romance.","The Poppy War","1.0"
"The Complete Poppy War Trilogy: The Poppy War, the Dragon Republic, the Burning God","R. F. Kuang","Fantasy, Historical, Find Magic, Find Witch, Find Alien, Adults (18+), _Biblioteca.Fantasia.Contemporanea","","1.0","From R. F. Kuang, the #1 New York Times bestselling and award-winning author of Babel , this collection features the novels in her historical military fantasy trilogy— The Poppy War , The Dragon Republic , and The Burning God —a complete epic inspired by the bloody history of China’s twentieth century and filled with treachery and magic. The Poppy War A war orphan, Rin earned her place in Nikan’s most elite military school. There, she discovers her lethal, unearthly power of shamanism—and learns that gods long thought dead are very much alive. When an inevitable conflict arises between longtime enemies the Nikara Empire and the Federation of Mugen, Rin realizes her shamanic powers may be the only way to save her people. But as she finds out more about the god that has chosen her, the vengeful Phoenix, she fears that winning the war may cost her humanity. . . The Dragon Republic After committing an atrocity in battle, shamanic warrior Rin is consumed with guilt, an opium addiction, and the murderous commands of the fiery Phoenix god. Channeling her anger against the Empress who betrayed Rin’s homeland, she chooses to join forces with the Empress’s enemy, the Dragon Warlord. But as Rin discovers the true natures of the Empress and the Dragon Warlord, the temptation to unleash the Phoenix’s fearsome power grows—and so does her vengeance. . . The Burning God After saving Nikan from foreign invaders and battling the evil Empress in a brutal civil war, Rin realizes that her homeland’s real power lies with the millions of common people who thirst for vengeance and revere her as a goddess of salvation. Vowing to defeat all who threaten the shamanic arts, Rin’s power and influence grows—but so does the Phoenix’s intoxicating voice urging her to burn the world and everything in it. . . “Mixing historical parallels of Chinese history, the themes of war, politics, and colonialism are balanced with terrific, flawed characters and amazing worldbuilding.”— Library Journal (starred review)
","eng","","Subgenero · Fantasia epica","","Fantasía","100","Collection of historical military fantasy trilogy.","The Poppy War","1.0"
"Curse Breaker: Enchanted","Melinda Kucsera","curse breaker, ghost, Dark Fantasy, Heroic Fantasy, epic science fiction fantasy, Fantasy, midevil fantasy, Epic Fantasy, Adventure, sorcery, epic fantasy magic, demon, Action, mythic fantasy, _Biblioteca.Fantasia.Contemporanea, Sword & Sorcery, spiritual warfare fiction, hero, Magic","Curse Breaker","1.0","**Start No Fires. Carry No Weapons. Do No Harm.** Those three rules safeguarded countless travelers through the enchanted forest — until they didn't. One boy's murder ripped open a hole in the forest's ancient protections. Now, no one is safe. But that dead child was born to wield magic, and he wants justice from the nearest mage — a young man named Sarn. 
Finding answers won't be easy. Not when the killer will do anything to stop Sarn, even summon monsters and turn the enchanted trees against him. Now, the forest needs Sarn's help, but that's not a choice Sarn can make. 
When his commander demands he abandon his quest, Sarn faces an impossible choice. If he disobeys orders, he'll die from the backlash of breaking his word. But if he doesn't stop the killer, his son will pay the ultimate price. Get *Curse Breaker: Enchanted* * now. 
*This is the More Epic Version, Revised. 
CURATOR'S NOTE (The Clean Fantasy Bundle)  
«I met Melinda Kucsera through the magic of the Internet when L.C. Ireland and I accepted her novella into our *A Different Kind of Hero* anthology. I've been impressed with her work ethic and dedication to the fantasy world she's built. I really like that she's telling a story about a protagonist with PTSD, because I've found that protagonists with mental illnesses are often ignored in fantasy.» – *Emily Martha Sorensen*
","eng","curse breaker, Dark Fantasy, epic fantasy, demon, Fantasy, Sword & Sorcery, hero, ghost, Magic, Action, Adventure, spiritual warfare fiction, sorcery, epic science fiction fantasy, epic fantasy magic, midevil fantasy, heroic fantasy, mythic fantasy","Tono · Oscuro","","Fantasía","80","Fantasía con magia, asesinato y protección familiar, sin romance central.","Curse Breaker","1.0"
"The Monk's Grimoire","Betsey Kulakowski","Find Magic, Find Witch, Find Demon AND Angel, Find Vampire, Find Alien, vampire, Crime & mystery, Find Cock, Supernatural, Magic, demons, Fantasy, Science Fiction, _Biblioteca.Fantasia.Contemporanea","Veritas Codex","4.0","**The Devil is on the march and only one woman has the power to stop him—if she makes an unbearable sacrifice.** Television investigator Lauren Grayson’s life is shattered when a Prague professor discovers an ancient document known as the Devil’s Codex—with Lauren’s name embedded in the text. She’s forced to travel to Europe, where she’s abducted, drugged, grilled, and threatened. A string of gruesome murders terrify the city, and police consider Lauren the prime suspect. Ancient texts reveal a supernatural plan to raise an army from Hell to conquer the world. Lauren searches for the key to preventing an apocalypse in the Monk’s Grimoire, only to find critical pages have been removed.  In the midst of the unearthly chaos, Lauren’s arcane powers intensify, at the same time that her young son Henry also exhibits strange abilities. Lauren is faced with the impossible burden of solving the murders, clearing her name, and stopping the devil himself—while a prophecy foretells that she will be forced to make a terrible sacrifice.  If you like supernatural suspense, pulse-pounding action, relentless twists and turns, and Old World mythology brought to life, you’ll love *The Monk’s Grimoire*.","eng","satan, devil, demon, Magic, wizard, sorcerer, monk, supernatural, Fantasy, radiers, ark, television investigator","Tono · Oscuro","","Misterio·Thriller·Terror","80","Suspense sobrenatural con asesinatos, apocalipsis y poderes, pero sin romance central.","",""
"Sun in Glory and Other Tales of Valdemar: True Colors","Mercedes Lackey[Editor] & Michael Longcor","short story, _Biblioteca.Fantasia.Contemporanea","Tales of Valdemar","2.0","An all-new original short fiction anthology featuring Mercedes Lackey's heroic Heralds and their horselike companions-as penned by these masters of fantasy 
  * Errold's Journey * by Catherine S. McMullen 
  * The Cat Who Came to Dinner * by Nancy Asire 
  * Winter Death * by Michelle West 
  * A Herald's Rescue * by Mickey Zucker Reichert 
  * In the Eye of the Beholder * by Josepha Sherman 
  * Trance Tower Garrison * by Fiona Patton 
  * Starhaven * by Stephanie Shaver 
  * Rebirth * by Judith Tarr 
  * Brock * by Tanya Huff 
  * True Colors * by Michael Longcor 
  * Touches the Earth * by Brenda Cooper 
  * Icebreaker * by Rosemary Edghill 
  * Sun in Glory * by Mercedes Lackey


","eng","","Subgenero · Fantasia epica","","Fantasía","90","Anthology set in Valdemar fantasy world.","Valdemar","1.0"
