title,authors,tags,series,series_index,comments,identifiers,#subtitle,#subjects,#clasificacion,#libreria,#clasificacion_ia,#confianza_ia,#libreria_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Glass Omega","Calliope Stewart","Romance, Omegaverse, Why Choose, M M Romance, mafia romance, M M F, Spicy, Menage, Polyamory, Contemporary","The Mafia Darlings Omegaverse","1.0","The first time I see Edison Keane and Rhodes McCreary I’m eighteen and battling leukemia in the hospital. They’d oozed danger and seemed to live a life so different from the anesthetic prison where I lived my life.  No one expected me to survive my sickness, but four years later I’m alive and about to be married off to a pack of alphas that I want nothing to do with and the memory of the two alphas is still fresh in my mind.  Then they burst into the church, guns drawn. It turns out my betrothed pack owes them a debt and they are here to collect me.  Never would I have thought that being kidnapped could be so freeing. The more time I spend with these men, the more I want to live in the gilded bird cage they’ve created for me. Unfortunately, my old life isn’t quite ready to let go of me yet and it threatens to ruin everything.  People often say I’m made of glass, but if it's Edison and Rhodes? Then maybe I don’t mind being broken.  Glass Omega is a MMF age gap omegaverse featuring a 22-year-old sheltered omega. Please check all content warnings.**** EXPECTED SOMETIME IN 2024*** *","mobi-asin:B0CT4LGHT1,goodreads:205840301","","","Dinamica · Harem inverso/Why choose, Dinamica · Poliamor/Trio, Dinamica · Matrimonio concertado, Dinamica · Age gap, Tono · Picante/Erotico, Arquetipo · Mafia, Paranormal · Lobos/Shifters, Paranormal · Omegaverse, Tono · Cautiverio/Trata","Romance contemporáneo [REVISAR]","","","","","",""
"The Chief of Rally Tree","Jennifer Boyden","","","1.0","<p> Dina's gone. She left a note, she left her plants, and she left what her husband, Roal, thought was her entire world. Nothing remained but some frozen dinners and the mysterious last line of her final message: I do love you ever Dina. </p> <p> Professor Roal Bowman, best known in the sleepy college town of Braddock as a fake Zen master who used to pretend to be Native American and never lived up to his potential, by no means saw it coming. How could he have guessed that his wife would run away to help the famous Winter Patent, a man who had literally lived with wolves, on a grand project to embrace the consciousness of trees? He thought Dina had been happy. But the more Roal digs, the more he realizes that he never truly knew or understood his wife, that he never really listened, and that now that Dina has disappeared, he must become something more&#8212;something real&#8212;if he hopes to get her back. And he'll have to do it quickly: he's not the only one who wants to find...","isbn:9781510732704","","","Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"Satisfaction","Lulu M. Sylvian","","Legatum","7.0","Les Hernandez has that whole bad boy chef vibe, rocks a kilt, and makes the most orgasmic cheesecake in Napa Valley. But when it comes to having his life together, knowing where he fits into his two families is tearing him apart. His mother’s family gave him his gifts for cooking, and his father’s family, the Palatines, where he inherited other… special skills. His alpha is pushing him to take a DNA test to identify his father. And the new owner of the hotel where he works, she’s something all together more dangerous, wants him nosing around her staff to find out who is causing problems.  And then there’s She’s cute and sassy, and has this way of eating his desserts that leaves him needing a moment or three in the walk-in freezer. She’s the only one who makes sense in all of this mess. And if he can accept what she is to him, the rest of it might all fall into place.","grvotes:12,goodreads:210168154,mobi-asin:B0CW18DV9S,amazon:B0CW18DV9S","","","Arquetipo · Bad boy, Ambientacion · Highlander/Escoces, Arquetipo · Deportistas, Paranormal · Lobos/Shifters, Paranormal · Angeles y demonios, Ambientacion · Small town","Romance contemporáneo [REVISAR]","","","","","",""
"Winning the Surgeon's Heart","Annie Claydon","","","1.0","<strong>The ultimate prize?</strong><Br>Capturing the guarded bachelor's heart...<Br>Entering the ""Hospital Challenge,"" the last person single mom paramedic Hannah Greene wants to be partnered with is Matt Lawson! She'd planned on winning the competition, not getting distracted by a sexy surgeon! But forced to put her trust in lone-wolf Matt, Hannah uncovers the compassion behind his charisma and can't help inviting him into her world. They make the perfect team. Could they also be the perfect family?<Br>""As for the dialogue, it was emotionally-animating, utterly engaging and a story that I loved.... Overall, Ms. Claydon has delivered a fantastic read in this book where...the romance was nicely-detailed and had me loving these two together....""<br>&#8212;Harlequin Junkie on Second Chance with the Single Mom<Br>""This really is a beautifully written story, a story that flows with love and happiness.... Ms. Claydon has added more to this community with her characters...this is a...","","","","Dinamica · Segunda oportunidad, Dinamica · Padre/Madre soltero/a, Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"When Sinners Rise","Charlotte E. Hart & Rachel De Lune","_Topics.Dark","House of Skin","5.0","Shaw Cortez was a wolf in sheep's clothing.  Charming. Beautiful. Brutal.  He made me feel things I'd forgotten, and then he took what little trust I had and scarred it further.  I’m not the same girl now, though.  I’m no one's property.  This time, I The House Of Skin Series deals with themes some may be uncomfortable with. These are bad men who make no apologies for their particular trade.","grvotes:40,goodreads:209569203,mobi-asin:B0CWRCR473,amazon:B0CWRCR473","","","Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"Daddy Danger","Sadie Savage","_Biblioteca.Romance.Contemporaneo","","1.0","Could you ever fall in love with an addict? How do you know he wouldn’t betray you?  **Arrow**    I F*cked up big time. I betrayed my friends. I betrayed my family. I betrayed my MC and lost my position as VP. I even traded in my beloved motorcycle for some damn smack. But now that I’m clean the Pythons MC is giving me another chance, it’s my duty to take down Hawk. The bastard that got me hooked. And I’ll do it by getting in his good graces. Only problem—his younger niece is even more addictive than heroin.  **Ari**    I try to stay away from my uncle’s friends, especially when they’re twice my age. But there is something about Arrow, the way he wants to protect me. When I’m in his arms I feel safe. Could something that feels so right really be dangerous?  **Daddy Danger: Pythons MC is a standalone, steamy older man younger woman romance with guaranteed HEA, and no cliffhanger! It’s also the third book in the Pythons MC series. Novella length story. Contains bonus shifter and biker romance stories.**","mobi-asin:B075F66LK3,goodreads:36193315","","","Dinamica · Age gap, Tono · Picante/Erotico, Arquetipo · Moteros/MC, Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"The Minotaur's Kiss_BWWM Paranormal","Erin St. Charles","","Gods and Concubines","1.0","A chance encounter brings them together. An impulsive kiss seals their fate. 
The dedicated social worker  
Dumped by her boyfriend and passed over for a promotion, Diana Miller is sick of always being a good girl--and always finishing last. When she meets an attractive stranger at a work event, she sheds her good-girl persona, and sets out to seduce him. 
The jaded enforcer  
Like most Minotaurs, Mac Bodie keeps to himself and never lets anyone get too close. He adheres to a strict relationship code: hit it and quit it. Mac can't believe his luck when Diana throws herself at him, offering a night of no-strings, tangled sheets fun. What could go wrong? 
Their night of passion leaves Diana sated and ready to focus on her career. But Mac finds it harder to let go. Diana hasn't just rocked his world--she has triggered something unexpected in him. Something that makes him question his lifelong aversion to that fated mate mumbo-jumbo. 
When Diana gets a chance to prove herself at work, she thinks it's the perfect opportunity to re-launch her lackluster career. Except her new protector is also her super-clingy Mr. One-Night-Stand! 
Her neat-and-tidy life just got a whole lot more complicated. What started as a night of sexy abandon has become so much more… 
This BWWM story features a spunky heroine, a sexy, brooding alpha male shifter, and a cast of wacky side characters. This book contains vivid descriptions of intimate situations. Not suitable for readers under 18. 
This is a full-length story of 77,000 words with a guaranteed HEA! **
### Review
This book is an excellent illustration of futuristic, paranormal pregnancy romance perfection. In the book, we meet Diana, a human social worker, and Mac, a shifter security officer. The two meet, conceive a child by accident, and then find out they've been placed together to work a case. Try as they might to keep their relationship professional, Mac soon realizes that Diana is his mate and that she's pregnant. I love that the father in this book finds out about the pregnancy before the mother in a totally paranormal-specific way. I can't wait to see where this series takes us. **Erin McCoy, Bookriot**
* * *
Reading Erin St. Charles' Minotaur's Kiss sent me into a beautiful realm of shifters, soulmates, and a love that once shared, cannot be broken. I look forward to reading more of her amazing books. **V. Vee, Author of Bad Boy Princes of Malvidence series**
### About the Author
Erin grew up watching Star Trek and reading Barbara Cartland novels (don't hate), wishing she could create something that brings her love of science fiction together with her love of romance. Still a romantic nerd at heart, she writes sensual, diverse stories that blend fantasy, adventure, and love.
","goodreads:40204689,isbn:9781732395909,amazon:B07D8T6DSS","","Romance, Fantasy","Arquetipo · Alpha male, Tono · Picante/Erotico, Arquetipo · Bad boy, Paranormal · Lobos/Shifters, Paranormal · Fated mates, Arquetipo · Nerd/Geek","Romance contemporáneo [REVISAR]","","","","","",""
"Breaking the Ice","Calliope Stewart","Romance, Contemporary, Omegaverse, Sports, Why Choose, M M Romance, Hockey, Sports Romance, Contemporary Romance, M M F","The Seattle Omegas","2.0","Aurelia Peterson has always been the rock of her family. Daughter, cousin, sister, mom. She used to be a wife too, but that ended violently, leaving Aurelia with mobility issues and trauma that haunts her dreams. All Aurelia wants is to raise her son, Tobey. She is not looking for love, especially when she made the wrong choice the first time around. Unfortunately, Pack Stone didn’t get that memo. Physical therapy sessions aren’t nearly as grueling now that Pack Stone has barreled into her life and Aurelia starts to wonder if all those romances that she’s read aren’t so impossible for her after all. Colt, Christa, Hideo, and Wilder are living a life that others could only dream of. After the success of his private security business, Colt wants to dedicate his time to supporting athletes on their way to greatness—as long as it doesn’t get in the way of raising his son. It’s not long before Colt’s packmate, Wilder, starts to grow closer to the pretty omega with sad eyes during her physical therapy appointments. Pack Stone has always been too busy for an omega, especially one so resistant to romance. As they become more entangled with Aurelia and her sweet little boy, Pack Stone must face monsters from Aurelia’s past for any hope of a future together. Breaking the Ice is a MMFFM why choose romance featuring MM, FF, and MF situations. This story is not suitable for readers under the age of 18. Please check the full list of triggers before reading. This is the 2nd story in The Seattle Omegas universe and will feature speed skating and the administrative aspects that take place behind the scenes. While this is technically a stand-alone, you may want to read On Thin Ice to understand some other character mentions and plot points.","goodreads:107526279","","","Dinamica · Harem inverso/Why choose, Arquetipo · Deportistas, Paranormal · Lobos/Shifters, Paranormal · Omegaverse, Tono · Trauma/Salud mental","Romance contemporáneo [REVISAR]","","","","","",""
"Curved Lines","Allie Cooke & Jodi Redford & Lexxie Couper & Dee Carney & Dee Tenorio & Dawn Montgomery & Kathryn Lively & Quinn & Tilly Greene & Merryn Dexter","","","1.0","Tattooed Bad Boys and the Curvy Women They Love   
Get k(ink)y with ten sizzling hot book boyfriends! These sexy, curve-loving, tattooed bad boys will steal your hearts and more in this all-new novella collection brought to you by USA Today and bestselling authors.   
Acquired Taste – Dee Carney   
When celebrity chef August Jaeger mixes it up with a curvy food blogger, they both realize what they want isn’t on any menu.   
Dirty Deeds – Allie Cooke   
Four days, a million dollars, the performance of a lifetime…but what happens when they stop faking it? Dirty Deeds ain't always dirt cheap.   
Scorched Desire -- Lexxie Couper   
When a Harley-riding hunk literally sweeps her off her feet, Jilly Parker finds herself transported to a world of dragon shifters,   
carnal lust, and fated love.   
Pretty In Ink – Merryn Dexter   
Sexy, sweet Aubrey Jensen is everything a semi-reformed bad boy could want – but sometimes getting what you want doesn’t give you what you need.   
Hot Tamale – Tilly Greene   
Derek Schrizer is a retired Marine looking to get a new tattoo, not reconnect with his first love, the curvy sexy Cat.   
Waking Up – Kathryn Lively   
A chance encounter forces a plus-sized woman with dormant dreams to wake up and find her own Happily Ever After.   
Marked By Ice – Dawn Montgomery   
His only job is to protect her at all costs, but who will protect the big bad wolf’s heart once he gets a taste of her sweet lips?   
Like a Boss – Quinn   
Proving she’s more than a smart mouth and sexy curves would be a hell of a lot easier if she wasn’t so distracted by her sexy new boss.   
Kinky Curves – Jodi Redford   
The queen of dirty talk. The king of grind. Love is about to get real filthy.   
Another Man’s Treasure – Dee Tenorio   
A widowed actor and single dad pulls out all the stops to show a single mom just how well a woman can be treasured.
","goodreads:30630540,mobi-asin:B01H4F31YU,amazon:B01H4F31YU","","","Dinamica · Padre/Madre soltero/a, Arquetipo · Bad boy, Paranormal · Lobos/Shifters, Paranormal · Dragones, Paranormal · Fated mates","Romance contemporáneo [REVISAR]","","","","","",""
"Too Many Alphas","Julia Talbot","English.Romance.Contemporary Romance, _Biblioteca.Romance.Contemporaneo","Alpha Tales","3.0","When Jonas comes to small town mountain Colorado chasing his client’s pregnant sister, the last thing he expects to find is yet another pack of werewolves and another Alpha. He realizes his client, Gideon, isn’t going to be happy with the situation, since he runs his own pack down in Texas, but then, Gideon never seems happy about anything.  Gideon thinks Jonas may be the least attentive PI ever, but that’s werefoxes for you, right? Still, the guy does his job and finds Gideon’s sister, so he heads to Colorado to bring her home. Things never work out like he plans, and god knows there are too many Alphas about, but the one thing Gideon finds up in the mountains is that there’s a fox he can’t seem to keep his hands off of, and that family of choice can be just as important as the one you're born into.","fictiondb:too-many-alphas~julia-talbot~2496900,amazon:B07TD6B5KF,ff:t/julia-talbot/too-many-alphas,isbn:9781942831860,goodreads:52197934","","","Paranormal · Lobos/Shifters, Ambientacion · Small town","Romance contemporáneo [REVISAR]","","","","","",""
"Pequeños pasos","Louis Sachar","novela, Juvenil","Gran angular","262.0","Sobaco —o Theodore, que es su verdadero nombre— ha salido hace poco del Campamento Lago Verde, un campamento para chicos malos donde se ha pasado una buena temporada cavando hoyos. Ahora tiene como prioridad terminar el instituto, evitar situaciones violentas y deshacerse de su mote. Lo que él no tenía pensado era que se podía enamorar de una cantante adolescente, o que la policía le pudiera investigar por un turbio asunto de reventa.","revision:1.0,epl:49097","","Novela, Juvenil","Paranormal · Lobos/Shifters, Publico · Young adult/Juvenil, Tono · Humor","Romance contemporáneo [REVISAR]","","","","","",""
"Vida sentimental de Bugs Bunny","Ángela Vallvey","novela, Juvenil","Gran angular","159.0","Arturo tiene casi, dieciséis años y un aburrido verano por delante. Le falta vello y le sobran espinillas y aprensiones. Tiene una familia que se burla alegremente de su «edad del pavo» y duerme con un abuelo que le atormenta con sus ronquidos. El mundo le parece un enorme cuaderno de ejercicios sin resolver. Y lo que más le preocupa es que tiene la misma vida sentimental que Bugs Bunny, es decir, ninguna. Sus amigos, César y Pitagorín, no lo tienen mucho más claro… Hasta que se produce la gran conmoción: se enamora de Lola, una guapa presentadora de televisión que ha alquilado el chalé contiguo. Se dedica de manera furibunda a la poesía (con desastrosos resultados al principio) como una forma de expresar sus sentimientos. Pero sus expectativas amorosas se desvanecen cuando llega su tío Jaime, un aventurero al estilo Indiana Jones, por el que inmediatamente se siente atraída su famosa vecinita.","revision:1.0,epl:54728","","Novela, Juvenil","Paranormal · Lobos/Shifters, Publico · Young adult/Juvenil, Tono · Humor","Romance contemporáneo [REVISAR]","","","","","",""
"Autobiografía de un cobarde","Alfredo Gómez Cerdá","","Gran angular","1.0","¿Hasta dónde estás dispuesto a llegar por tus amigos? ¿Harías cualquier cosa que te pidieran? ¿Estás seguro? Edu pensaba que sí. Por eso, ahora está en un callejón oscuro, con un bastón en la mano, esperando a que lleguen esos chavales peruanos a los que, junto a sus amigos, debe dar una paliza.","epl:54802,revision:1.0","","Novela, Juvenil, Realista","Paranormal · Lobos/Shifters, Publico · Young adult/Juvenil, Tono · Humor","Romance contemporáneo [REVISAR]","","","","","",""
"Cloak of Red","Isabel Jolie","Themes.Explicit Sex, Suspense, English.Romance.Mafia Romance, Contemporary, forbidden romance, _Biblioteca.Romance.Contemporaneo, Romantic Suspense, Romance","Arrow Tactical Security","3.0","In the past, he was paid to protect me. Now, he’s being paid to marry me. My first operation in the field, the marriage is a cover. Damian Fisher is a CIA legend with a shaggy beard, chocolate curls, and deep blue eyes. As a teen, my girlfriends swooned in his presence. I never expected to work with him as an equal. I’d bet he never expected it either. But, my overprotective father is a powerful man and I wouldn’t put it past him to pull a stunt like this to protect his baby girl. Requesting my old bodyguard and his close friend to work by my side is right down Daddy Dearest’s alley. But I no longer need protection. I worked hard to overcome the effects of the abduction. Someone played me like a pawn on a chessboard, and I’m dedicating my career to unveiling the players calling the shots. Only lines blur when our relationship becomes all too real. Secrets from my past unfurl. Chaos erupts. In the end, it’s not just our mission on the line. It’s also our hearts and lives. What am I willing to sacrifice to unravel the past and stay true to my mission? Cloak of Red is a billionaire, forbidden romantic suspense, age gap, fake marriage romance between two CIA undercover officers. She's a billionaire heiress, and as a teen and college student, he was her bodyguard. The third standalone romance in the Arrow Tactical Series, Cloak of Red is part of the Wolf trilogy, a modern-day take on Little Red Riding Hood, where her past intertwines with her present in a dangerous game of make-believe with the one man she can’t resist.   The first two in the trilogy do not need to be read in order to enjoy Cloak of Red.   The stories are designed so that they can be read without reading prior books and as standalones (no cliffhangers!), but to avoid spoilers, it's recommended the trilogy be read in order. Book 1 - Better to See You Book 2 - Sure of One Book 3 - Cloak of Red","goodreads:123161697,mobi-asin:B0BTXXSMCS,isbn:9781953942906","","","Dinamica · Hermano del mejor amigo/a, Tono · Picante/Erotico, Arquetipo · Militar/SEAL, Dinamica · Prohibido, Arquetipo · Billonario/CEO, Paranormal · Lobos/Shifters, Subgenero · Espionaje/Espias, Subgenero · Romantic suspense, Dinamica · Matrimonio por conveniencia, Dinamica · Protector, Dinamica · Age gap, Arquetipo · Mafia, Arquetipo · Guardaespaldas, Tono · Cautiverio/Trata","Romance contemporáneo [REVISAR]","","","","","",""
"Minerva the Liar","Page Turner","_Biblioteca.Fantasia.Contemporanea","","1.0","Truthshapers. Dream invasions. Artisanal blackmail.
Minerva Cantor is having a miserable day. Her live-in boyfriend is a man child. The guys at work keep stealing her ideas.
But when she wakes up at the hospital after a serious accident, she's different. If she crosses her fingers, she can make lies become the truth. She can make things happen. Anything she wants.
Except there's always a cost for bending the truth. Minerva's lies lead her to more boyfriends than she can fit in her apartment, a secret matriarchal society of psychic bureaucrats, a resentful homunculus, and a shapeshifter with nothing to lose.
The third book in the Psychic State series takes place twenty years prior and tells the story of how the Psychic State came to be.
","isbn:9781947296114","","","Paranormal · Lobos/Shifters, Subgenero · Superpoderes","Romance contemporáneo [REVISAR]","","","","","",""
"Sure of One","Isabel Jolie","Themes.Explicit Sex, Suspense, Contemporary, Contemporary Romance, Military Fiction, Fiction, _Biblioteca.Romance.Contemporaneo, Erotica, Romantic Suspense, Romance","Arrow Tactical Security","2.0","What would you do for one hundred million dollars?  Jack Sullivan is a man of few words. His cold emotionless countenance shields any glimpse of the human being within.  If he didn’t hire me to help his daughter, I’d suspect the man sold his soul for success.  I agree to his unorthodox plan to move into his home as a favor to a mutual friend, and because Mr. Sullivan pays well.  He’s a billionaire with an ego to match. He flat-out told me everyone has a price.  What is mine?  What’s Your Price?  It’s a question I’ve asked any number of times as both CEO of a weapons manufacturer and working for the CIA.  Every person has a price.  My daughter was abducted. I would have given every dollar in my name to get her back. For my daughter, I’ll do anything. No price is too high.  Now she’s back, safe at home. I won’t rest until we’ve caught all the responsible bastards and my daughter is back to her happy, normal self.  When I hire Ava Amara to help her recover, I find myself drawn to the therapist. But she is one indulgence I can’t allow myself.  Or can I?  Sure of One is a billionaire, forbidden romantic suspense featuring an illicit contract between a former military billionaire alpha silver fox and his daughter’s therapist. Sure of One is the second standalone romance in the Arrow Tactical Series and is part of the Wolf trilogy, a modern-day take on Little Red Riding Hood.  The stories are designed so that they can be read without reading prior books, but to ensure the absence of spoilers, it is recommended the trilogy be read in order.  Book 1 - Better to See You   Book 2 - Sure of One   Book 3 - Cloak of Red","goodreads:123848994,isbn:9781953942517,mobi-asin:B0BRVXWW72","","","Dinamica · Hermano del mejor amigo/a, Tono · Picante/Erotico, Arquetipo · Militar/SEAL, Dinamica · Prohibido, Arquetipo · Billonario/CEO, Paranormal · Lobos/Shifters, Subgenero · Espionaje/Espias, Subgenero · Romantic suspense, Dinamica · Matrimonio por conveniencia, Dinamica · Protector, Dinamica · Age gap, Arquetipo · Mafia, Arquetipo · Guardaespaldas, Tono · Cautiverio/Trata","Romance contemporáneo [REVISAR]","","","","","",""
"Never After","Marie Brennan","","","1.0","<p>Forget perfect princesses, handsome princes, and ""happily ever after."" In this collection of thirteen flash-length fairy tale retellings, award-winning author Marie Brennan introduces you to a world of manipulative mirrors, treacherous pigs, and candy houses that will eat you right up. Each one is a subversive little gem, guaranteed to shock the Brothers Grimm.<p>Table of Contents<li>""The Mirror's Tale""<li>""The Kindness of Sisters""<li>""Conversation with a Wolf""<li>""Gold""<li>""A Smile, a Laugh""<li>""Nesu-a""<li>""The Princess and the...""<li>""One Last Prize""<li>""The Fall of the Fortress of Brick""<li>""Many Faces""<li>""Every Moment, I Dream of Sleep""<li>""Just Right""<li>""And Everything Nice""<li>Afterword","isbn:9781611387773","","Fairy Tales, fairytales, Fantasy, twisted, collection, grimm, perrault","Paranormal · Lobos/Shifters, Subgenero · Retelling de cuento","Romance contemporáneo [REVISAR]","","","","","",""
"El destino de Pru","Nira Strauss","Romántica, Fantasía, _Biblioteca.Romance.RomanceSciFan","","1.0","No hay nada más frustrante para una chica de diecisiete años que estar enamorada del mejor amigo de su hermano mayor y que este ni sepa que existe, y, encima, no haber pasado por su primera luna llena. Pru, una licántropa de la Alta Sociedad, está muy harta de su vida. Siente que no encaja en ninguna parte, excepto en el exterior… Justo donde tiene terminantemente prohibido ir. Pero ¿dónde está la diversión si uno siempre sigue las normas?
","epl:67018,revision:1.0","","Romántica, Fantasía","Dinamica · Prohibido, Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"Un balón por una bala","Rafael Salmerón","novela, Juvenil","Gran angular","294.0","Willy Wome, el genuino Wonder Wome, también conocido como señor Doble W, afronta el final de su etapa como futbolista de éxito en los Warriors, y se dispone a emprender, después de unos cuantos años, el regreso a su hogar, a la tierra que lo vio nacer: Sierra Leona. La fortuna le ha sonreído y por eso, ahora, está dispuesto a hacer lo que mejor sabe, enseñar a jugar al fútbol a los niños que no pueden permitirse ese lujo. Se ha decidido a crear un centro especial que atienda a los más desfavorecidos y les ayude a hacer realidad sus sueños. Lo que no sabe Willy Wome es lo que se va a encontrar al volver, ni si la situación que recuerda seguirá siendo la misma que antes de abandonar su país, cuando él mismo estuvo a punto de convertirse en un niño soldado. Y es que Willy se encuentra a punto de afrontar el mayor reto de su vida…","revision:1.0,epl:54779","","Novela, Juvenil","Paranormal · Lobos/Shifters, Publico · Young adult/Juvenil, Tono · Humor","Romance contemporáneo [REVISAR]","","","","","",""
"Curvy Dirty Omega","Emma Dean","Omegaverse, Dark, Smut, _Biblioteca.Romance.Contemporaneo, Paranormal, Second Chance, Forced Proximity, M M Romance, Why Choose, Romance, Menage","You Think You're Slick?","1.0","**Who says omegas can’t solve murders?** I may be an omega and the daughter of a serial killer, but that doesn’t mean I can’t work as a private detective solving murders for high profile clients - clients like the ultra elite legacy alpha, Liam Valor.  I’ve been labeled defective all my life, but this new case is going to make my career. I just didn’t expect Liam, or his scary hot assistant, to affect me like this when no one else ever has.  How am I supposed to solve his brother’s murder when his pheromones have me falling all over myself to please an alpha for the first time in my life? And what am I supposed to do when they respond, forcing me to accept their care despite my protests?  Find the killer and solve the case so I can get out of their lives before their alpha BS dominates me right into heat, that's what. Because no matter how hot they are, they both have their own secrets, and I could never be their precious omega.","goodreads:180350788,mobi-asin:B0C96FFQC6","","","Dinamica · Segunda oportunidad, Dinamica · Harem inverso/Why choose, Dinamica · Poliamor/Trio, Dinamica · Proximidad forzada, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Omegaverse, Subgenero · Policiaco/Detective, Subgenero · Asesino en serie","Romance contemporáneo [REVISAR]","","","","","",""
"The Sweetest Obsession","Nicole Snow","Romance, Contemporary, Second Chance, Contemporary Romance, Romantic Suspense, Suspense, Small Town Romance, Friends To Lovers, Dark Romance","Dark Hearts of Redhaven","2.0","Falling for the best thing that never happened brings sweet mayhem in this steamy, gripping, and heartfelt small-town grumpy-sunshine standalone romance.  My brother's best friend owned my heart until the day he drenched it in kerosene and burned it down.   Grant flipping Faircross is so not the reason I'm coming home.   I don't care if he's gotten bigger, meaner, and grumpy enough to flash freeze the sun.   So what if he's up in my business the second I arrive?  I'm smarter now.   I'm only back in Redhaven for my sick mother and to talk some sense into my sister before she marries a toad.   Grant ran me off once and I'm not running back.   I can handle the drama, the messy secrets, and an unexpected stalker just fine.  ...or maybe not so fine.   When Prince Anti-Charming charges in to protect me, it's kinda hard to say no.   When I find out he's a single dad with a heart bigger than a prune, it gets harder.   And when his lips storm mine with a growl that says “stay,” oh God.  Are we really doing this again?   Especially when an old tragedy resurfaces with hard truths, stinging tears, and one brutal question.   Will our sweetest obsession finally deliver us or destroy us forever?  The perfect blend of small-town romance, furious spice, and jaw-dropping thrills that will keep you guessing. Batten down your heart as a stone-hearted giant wakes up and fights to keep the girl who got away—if she'll ever admit she wants to be chased.","isbn:3995022111,goodreads:203954999","","","Dinamica · Segunda oportunidad, Dinamica · Amigos a amantes, Dinamica · Grumpy/Sunshine, Dinamica · Hermano del mejor amigo/a, Dinamica · Padre/Madre soltero/a, Dinamica · Obsesion/Stalker, Tono · Oscuro, Tono · Picante/Erotico, Ambientacion · Small town, Subgenero · Romantic suspense, Tono · Angst/Drama emocional, Paranormal · Lobos/Shifters, Subgenero · Retelling de cuento","Romance contemporáneo [REVISAR]","","","","","",""
"Danza con lobos","Michael Blake","","","1.0","","","","","Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"The Wolf of Christmas Present","Kristen Strassel","English.Romance.Paranormal Romance, Themes.Werewolves, Themes.Explicit Sexual Content, Themes.Second Chance Romance, Themes.Reverse Harem, Themes.Holiday Romance, _Biblioteca.Romance.RomanceSciFan","Three Wolves for Christmas","2.0","My parents fled the Sawtooth pack because was a mandate in place that demanded I be sold to the highest bidder. But now my parents are gone, so is that awful mandate, and the Sawtooth wolves have invited me to spend Christmas with them.   I don’t want to spend the holiday alone, but I’m wary of facing a pack I don’t feel like I belong to.   So I ask my best client, Bates Morgan, to come with me and pretend to be my mate. I never expected him to say yes, but he does. The sexy guitarist has hired me for many tattoos, but until now, we’ve kept things strictly business.   Once we arrive and get snowed into our hotel room, Bates makes it clear that he doesn’t plan on faking anything.   This holiday season, the wolf of Christmas present gives me a gift that changes everything.  Escape to Sawtooth Forest with this sweet and sexy story! If you’re in the mood to read about a hot, shy rocker, a curvy tattoo artist, a fake relationship (not according to him), a massive snowstorm, and only one bed to bring them together, you will love The Wolf of Christmas Present!","fictiondb:the-wolf-of-christmas-present~kristen-strassel~3138993,ff:s/kristen-strassel/wolf-of-christmas-present,amazon:B0BLMPBHZH,goodreads:63315252","","","Dinamica · Segunda oportunidad, Dinamica · Relacion fingida, Dinamica · Harem inverso/Why choose, Dinamica · Solo una cama, Dinamica · Proximidad forzada, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Ambientacion · Navideno/Festivo, Subgenero · Paranormal romance","Romance contemporáneo [REVISAR]","","","","","",""
"Siempre con mis amigos","Ana María Machado","novela, Juvenil, Realista","Gran angular","315.0","¡Qué difícil es encontrar amigos de verdad! Cuando parece que Tatiana ha encontrado una buena amiga, los celos y otras personas intentan estropearlo todo. Tatiana se siente perdida y traicionada. Menos mal que aparece Diego, con el que Tatiana comparte aficiones y algo más.","epl:54799,revision:1.0","","Novela, Juvenil, Realista","Paranormal · Lobos/Shifters, Publico · Young adult/Juvenil, Tono · Humor","Romance contemporáneo [REVISAR]","","","","","",""
